"","RR10_BRN_FLT_WT_F1","RR10_BRN_FLT_WT_F3","RR10_BRN_FLT_WT_F5","RR10_BRN_FLT_WT_F7","RR10_BRN_GC_WT_G1","RR10_BRN_GC_WT_G3","RR10_BRN_GC_WT_G5","RR10_BRN_GC_WT_G7","RR10_BRN_GC_WT_G9"
"ENSMUSG00000116335",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116336",0,0,0,0,0,1,0,0,0
"ENSMUSG00000116338",0,0,0,0,1,2,1,0,1
"ENSMUSG00000116339",2,0,1,2,0,2,0,3,4
"ENSMUSG00000116341",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116343",0,0,0,0,0,0,0,1,0
"ENSMUSG00000116345",1,0,2,3,0,0,0,0,0
"ENSMUSG00000116347",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116348",0,0,1,1,0,0,0,0,1
"ENSMUSG00000116350",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116352",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116353",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116354",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116355",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116356",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116358",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116360",0,0,0,0,0,0,0,0,1
"ENSMUSG00000116365",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116366",2,0,0,0,0,2,0,0,0
"ENSMUSG00000116367",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116368",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116371",7,8,11,20,21,22,22,19,19
"ENSMUSG00000116376",0,0,0,5,10,1,1,0,0
"ENSMUSG00000116378",0,0,0,3,0,0,0,1,0
"ENSMUSG00000116380",0,3,3,7,3,2,1,2,4
"ENSMUSG00000116383",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116385",0,0,0,0,0,1,0,0,0
"ENSMUSG00000116386",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116388",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116389",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116395",1,4,0,3,1,3,3,3,4
"ENSMUSG00000116396",0,0,0,0,1,0,0,1,0
"ENSMUSG00000116397",4,1,4,2,47,23,29,2,3
"ENSMUSG00000116398",1,1,0,0,0,0,0,0,0
"ENSMUSG00000116400",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116402",0,1,1,0,1,0,0,1,1
"ENSMUSG00000116403",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116404",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116406",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116409",0,0,3,0,0,0,0,0,0
"ENSMUSG00000116412",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116413",4,0,2,0,0,0,0,0,0
"ENSMUSG00000116414",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116416",0,0,0,0,0,0,0,0,1
"ENSMUSG00000116419",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116423",1,0,0,0,0,9,0,3,0
"ENSMUSG00000116424",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116426",0,0,1,1,0,0,0,0,0
"ENSMUSG00000116428",0,0,0,0,0,0,1,0,2
"ENSMUSG00000116429",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116433",0,0,0,3,0,1,0,0,0
"ENSMUSG00000116435",1,3,3,15,14,30,8,3,5
"ENSMUSG00000116437",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116438",0,0,0,0,0,0,3,0,0
"ENSMUSG00000116439",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116442",0,0,0,1,0,0,0,0,0
"ENSMUSG00000116445",0,0,1,0,0,0,0,0,0
"ENSMUSG00000116449",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116450",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116455",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116461",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116464",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116467",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116469",3,0,2,2,0,0,0,1,0
"ENSMUSG00000116472",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116475",0,1,0,0,0,0,0,1,0
"ENSMUSG00000116478",0,4,2,5,6,12,7,13,2
"ENSMUSG00000116480",4,12,16,24,19,29,21,3,5
"ENSMUSG00000116481",0,0,0,2,0,0,0,0,0
"ENSMUSG00000116482",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116483",1,0,0,0,0,0,0,0,0
"ENSMUSG00000116490",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116491",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116493",17,21,25,54,5,20,17,14,37
"ENSMUSG00000116494",1,0,1,2,8,11,8,5,6
"ENSMUSG00000116498",13,19,5,15,5,5,4,4,3
"ENSMUSG00000116499",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116500",40,62,21,65,3,13,18,71,57
"ENSMUSG00000116504",0,1,9,10,9,12,4,3,14
"ENSMUSG00000116505",23,38,30,32,15,9,23,17,63
"ENSMUSG00000116506",73,75,70,112,107,105,114,68,112
"ENSMUSG00000116508",37,54,54,78,88,80,84,51,85
"ENSMUSG00000116514",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116516",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116518",11,16,39,53,58,86,28,19,53
"ENSMUSG00000116519",0,0,0,0,0,0,0,0,6
"ENSMUSG00000116520",0,6,3,3,0,0,0,0,1
"ENSMUSG00000116521",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116525",21,90,43,73,10,0,9,15,86
"ENSMUSG00000116528",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116529",3,8,1,2,1,4,1,4,2
"ENSMUSG00000116530",0,0,0,0,3,0,0,0,0
"ENSMUSG00000116531",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116532",0,0,0,0,0,3,0,0,0
"ENSMUSG00000116533",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116534",9,13,16,45,35,29,34,20,27
"ENSMUSG00000116535",0,0,0,0,0,0,1,1,0
"ENSMUSG00000116536",0,0,1,1,0,1,1,0,2
"ENSMUSG00000116537",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116538",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116539",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116540",0,0,0,1,0,0,0,0,0
"ENSMUSG00000116542",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116543",0,0,0,0,2,0,0,0,0
"ENSMUSG00000116544",3,0,0,0,0,2,0,0,1
"ENSMUSG00000116545",0,0,0,0,0,0,0,0,2
"ENSMUSG00000116546",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116547",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116548",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116549",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116550",0,0,1,0,0,4,6,2,0
"ENSMUSG00000116551",0,0,4,4,83,53,34,3,10
"ENSMUSG00000116552",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116553",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116554",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116555",0,0,0,4,1,2,1,0,1
"ENSMUSG00000116556",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116557",9,19,17,115,51,25,40,1,25
"ENSMUSG00000116558",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116559",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116560",1,2,4,5,1,2,1,3,4
"ENSMUSG00000116561",0,1,0,0,0,0,0,0,0
"ENSMUSG00000116562",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116563",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116564",674,878,877,1444,2414,2012,1887,1009,1913
"ENSMUSG00000116565",0,0,0,1,0,0,0,0,0
"ENSMUSG00000116566",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116567",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116568",3,0,6,1,39,24,14,0,0
"ENSMUSG00000116569",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116570",0,1,0,0,0,0,0,0,0
"ENSMUSG00000116571",14,16,31,27,55,44,29,14,24
"ENSMUSG00000116572",1,0,0,1,2,5,4,4,2
"ENSMUSG00000116573",5,0,7,13,0,0,1,10,5
"ENSMUSG00000116574",0,2,0,0,0,1,0,0,1
"ENSMUSG00000116575",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116576",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116578",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116579",0,2,0,1,0,0,2,1,3
"ENSMUSG00000116580",4,0,1,6,28,11,14,2,2
"ENSMUSG00000116581",1,0,4,8,2,3,2,1,2
"ENSMUSG00000116582",1,2,1,0,3,3,1,2,16
"ENSMUSG00000116583",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116585",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116586",0,0,0,0,0,2,0,0,0
"ENSMUSG00000116587",2,0,0,0,0,0,0,0,0
"ENSMUSG00000116588",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116589",7,4,3,18,21,13,8,12,14
"ENSMUSG00000116590",6,0,1,17,15,9,2,9,11
"ENSMUSG00000116591",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116592",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116593",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116594",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116595",0,1,0,0,0,0,0,0,0
"ENSMUSG00000116596",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116597",7,2,2,14,53,59,27,7,2
"ENSMUSG00000116598",0,0,0,0,0,0,0,0,1
"ENSMUSG00000116599",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116600",2,0,3,0,1,0,0,0,0
"ENSMUSG00000116601",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116603",1,0,0,0,1,0,0,0,0
"ENSMUSG00000116604",9,24,12,28,45,29,29,19,16
"ENSMUSG00000116605",0,1,0,0,0,0,0,0,0
"ENSMUSG00000116606",0,2,1,0,0,2,0,1,2
"ENSMUSG00000116607",0,0,1,9,0,4,4,2,1
"ENSMUSG00000116608",0,0,1,9,0,2,4,2,8
"ENSMUSG00000116609",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116610",60,49,51,174,7,15,43,30,173
"ENSMUSG00000116611",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116612",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116614",0,0,0,0,2,0,0,0,0
"ENSMUSG00000116615",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116616",0,0,0,0,0,2,0,0,1
"ENSMUSG00000116617",34,17,12,63,62,78,27,26,66
"ENSMUSG00000116618",4,2,11,17,9,6,15,4,24
"ENSMUSG00000116619",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116620",4,5,1,5,4,5,7,4,6
"ENSMUSG00000116621",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116622",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116623",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116624",3,5,16,47,28,7,12,1,8
"ENSMUSG00000116625",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116626",33,38,58,238,89,98,111,30,106
"ENSMUSG00000116627",3,6,17,15,4,5,17,11,17
"ENSMUSG00000116628",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116629",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116630",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116631",1,0,0,0,0,0,0,0,4
"ENSMUSG00000116632",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116633",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116634",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116635",0,3,0,0,0,0,0,1,2
"ENSMUSG00000116636",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116637",4,1,4,9,5,9,13,5,10
"ENSMUSG00000116638",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116639",0,1,1,4,3,2,1,0,1
"ENSMUSG00000116640",1,1,0,5,5,1,4,1,5
"ENSMUSG00000116641",1,9,0,4,7,4,10,3,11
"ENSMUSG00000116642",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116643",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116644",0,0,0,1,0,0,0,0,1
"ENSMUSG00000116645",2,0,0,7,7,10,0,0,2
"ENSMUSG00000116646",0,1,2,5,8,7,7,2,4
"ENSMUSG00000116647",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116648",3,5,5,12,0,2,2,3,5
"ENSMUSG00000116649",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116650",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116651",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116652",73,93,78,129,159,98,127,67,198
"ENSMUSG00000116653",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116654",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116655",1,2,0,2,3,1,2,4,2
"ENSMUSG00000116656",0,42,76,155,7,7,49,0,1
"ENSMUSG00000116657",1,5,3,5,1,5,3,0,7
"ENSMUSG00000116658",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116659",0,8,0,3,2,1,6,0,8
"ENSMUSG00000116660",0,0,1,0,0,0,0,4,2
"ENSMUSG00000116661",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116662",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116663",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116664",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116665",3,2,2,11,2,2,0,0,4
"ENSMUSG00000116666",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116667",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116668",0,0,0,0,0,0,0,0,1
"ENSMUSG00000116669",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116670",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116671",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116672",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116673",81,92,113,225,412,383,301,102,287
"ENSMUSG00000116674",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116675",1,0,0,0,1,0,0,0,0
"ENSMUSG00000116676",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116677",0,0,0,2,0,0,2,0,1
"ENSMUSG00000116678",1,0,0,0,0,0,0,0,0
"ENSMUSG00000116679",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116680",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116681",0,0,5,9,0,4,0,0,1
"ENSMUSG00000116682",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116684",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116685",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116686",0,1,0,0,0,0,0,0,2
"ENSMUSG00000116687",0,0,0,0,0,1,0,0,0
"ENSMUSG00000116688",0,0,0,1,0,0,0,0,0
"ENSMUSG00000116689",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116690",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116691",0,1,0,0,0,0,0,0,5
"ENSMUSG00000116692",0,0,0,0,0,0,0,1,0
"ENSMUSG00000116693",0,0,1,0,0,0,0,0,0
"ENSMUSG00000116694",0,0,0,0,0,0,0,0,1
"ENSMUSG00000116695",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116696",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116697",8,6,12,14,70,59,33,8,18
"ENSMUSG00000116698",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116699",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116700",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116701",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116702",0,0,0,0,0,0,0,0,1
"ENSMUSG00000116703",0,1,0,2,4,3,0,0,0
"ENSMUSG00000116704",0,0,2,8,1,1,1,0,3
"ENSMUSG00000116705",1,3,13,4,5,4,3,4,6
"ENSMUSG00000116706",2,2,0,0,0,1,3,1,0
"ENSMUSG00000116707",2,0,2,10,4,1,4,0,3
"ENSMUSG00000116708",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116709",0,0,1,2,0,1,0,5,0
"ENSMUSG00000116710",0,0,8,0,0,0,0,0,4
"ENSMUSG00000116711",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116712",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116713",0,0,0,6,3,0,0,0,3
"ENSMUSG00000116714",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116715",0,0,1,0,0,0,0,0,0
"ENSMUSG00000116716",0,0,0,0,1,0,0,0,0
"ENSMUSG00000116717",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116718",1,3,1,4,5,3,5,0,2
"ENSMUSG00000116719",0,0,0,0,0,1,1,0,0
"ENSMUSG00000116720",0,0,0,0,0,0,3,0,0
"ENSMUSG00000116721",0,1,0,1,0,0,0,0,0
"ENSMUSG00000116722",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116723",0,0,0,1,0,0,0,0,0
"ENSMUSG00000116725",1,1,4,0,12,21,14,3,2
"ENSMUSG00000116727",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116728",0,0,0,1,0,0,0,0,0
"ENSMUSG00000116729",1,1,3,2,1,2,2,3,2
"ENSMUSG00000116730",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116731",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116732",0,3,0,1,0,0,0,0,1
"ENSMUSG00000116733",20,27,28,49,51,76,76,26,66
"ENSMUSG00000116734",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116735",30,23,36,145,72,38,47,33,77
"ENSMUSG00000116736",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116737",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116738",0,0,0,0,1,0,0,0,0
"ENSMUSG00000116739",1,0,5,17,10,13,17,1,3
"ENSMUSG00000116740",8,9,1,50,2,1,4,8,16
"ENSMUSG00000116741",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116742",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116743",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116744",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116745",0,0,0,0,0,0,0,1,0
"ENSMUSG00000116746",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116747",0,7,0,5,1,0,2,0,1
"ENSMUSG00000116748",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116749",0,0,0,5,0,0,0,0,0
"ENSMUSG00000116750",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116751",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116752",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116753",2,13,17,46,76,60,71,0,2
"ENSMUSG00000116754",0,0,3,3,1,2,0,0,0
"ENSMUSG00000116755",0,6,6,78,0,11,11,12,2
"ENSMUSG00000116756",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116757",6,9,9,10,7,15,8,15,14
"ENSMUSG00000116758",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116759",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116760",11,14,29,131,15,64,46,15,49
"ENSMUSG00000116761",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116762",0,0,3,2,5,2,1,0,2
"ENSMUSG00000116763",10,6,11,41,4,15,15,10,19
"ENSMUSG00000116764",9,13,4,14,2,6,11,2,19
"ENSMUSG00000116765",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116766",32,9,19,199,22,17,15,64,18
"ENSMUSG00000116767",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116768",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116769",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116770",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116771",1,0,0,2,5,4,5,5,1
"ENSMUSG00000116772",6,26,17,20,2,0,19,30,39
"ENSMUSG00000116773",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116774",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116775",29,8,0,5,4,1,0,19,35
"ENSMUSG00000116776",0,0,0,1,0,0,0,0,0
"ENSMUSG00000116777",0,4,0,10,1,0,2,2,1
"ENSMUSG00000116778",0,0,0,1,0,0,0,0,0
"ENSMUSG00000116779",11,37,21,46,31,16,4,8,32
"ENSMUSG00000116780",1,5,1,3,4,1,0,2,2
"ENSMUSG00000116781",1,8,4,9,25,23,9,2,6
"ENSMUSG00000116782",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116783",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116784",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116785",0,0,0,0,1,0,0,0,0
"ENSMUSG00000116786",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116788",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116789",1,2,0,5,0,0,1,1,0
"ENSMUSG00000116790",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116791",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116792",2,6,3,5,0,0,1,0,6
"ENSMUSG00000116793",40,9,30,53,61,104,62,27,71
"ENSMUSG00000116794",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116795",7,11,14,35,31,19,16,10,4
"ENSMUSG00000116796",7,4,5,26,31,13,7,4,7
"ENSMUSG00000116797",3,2,1,14,7,6,6,4,4
"ENSMUSG00000116798",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116799",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116800",0,0,0,0,0,0,0,0,1
"ENSMUSG00000116801",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116802",330,345,281,525,1282,1055,773,350,767
"ENSMUSG00000116803",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116804",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116805",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116806",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116807",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116808",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116809",123,104,120,844,26,23,63,84,201
"ENSMUSG00000116810",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116811",11,3,2,26,0,0,1,2,17
"ENSMUSG00000116812",4,1,2,12,4,7,7,7,4
"ENSMUSG00000116813",1,0,1,0,5,0,2,1,3
"ENSMUSG00000116814",2,0,0,0,0,2,1,0,3
"ENSMUSG00000116815",12,23,11,19,12,11,2,17,47
"ENSMUSG00000116816",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116817",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116818",0,0,0,0,0,2,0,0,0
"ENSMUSG00000116819",10,13,16,19,46,41,52,16,6
"ENSMUSG00000116820",0,0,0,0,0,1,0,0,1
"ENSMUSG00000116821",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116822",4,16,9,34,4,3,8,2,12
"ENSMUSG00000116823",2,0,1,0,0,4,6,3,2
"ENSMUSG00000116824",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116825",2,0,1,0,0,0,0,0,0
"ENSMUSG00000116826",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116827",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116828",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116829",0,0,1,1,0,1,0,4,0
"ENSMUSG00000116830",0,1,3,0,0,1,1,0,2
"ENSMUSG00000116831",0,0,0,0,0,1,0,0,0
"ENSMUSG00000116832",7,7,19,208,6,4,4,16,21
"ENSMUSG00000116833",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116834",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116835",0,10,11,27,4,6,8,8,11
"ENSMUSG00000116836",13,15,9,5,13,28,18,9,14
"ENSMUSG00000116837",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116838",4,2,3,19,20,9,3,7,15
"ENSMUSG00000116839",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116840",7,8,20,32,22,13,16,4,19
"ENSMUSG00000116841",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116842",3,1,4,11,11,4,6,1,3
"ENSMUSG00000116843",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116845",1,1,1,7,2,3,0,1,6
"ENSMUSG00000116846",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116847",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116848",0,0,0,2,0,0,0,0,0
"ENSMUSG00000116849",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116850",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116851",0,2,0,1,0,0,0,0,1
"ENSMUSG00000116852",14,12,19,30,39,36,45,21,39
"ENSMUSG00000116853",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116854",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116855",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116857",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116858",140,167,149,325,439,408,316,147,346
"ENSMUSG00000116859",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116860",0,0,0,2,0,2,4,1,1
"ENSMUSG00000116861",0,0,0,3,0,1,2,0,2
"ENSMUSG00000116862",0,0,0,0,0,0,2,0,0
"ENSMUSG00000116863",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116864",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116865",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116866",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116867",14,34,19,288,0,3,10,6,40
"ENSMUSG00000116868",0,0,0,0,0,1,0,2,0
"ENSMUSG00000116870",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116871",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116872",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116873",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116874",0,0,0,3,0,1,2,0,1
"ENSMUSG00000116875",85,172,216,210,251,351,279,204,483
"ENSMUSG00000116876",3,3,8,15,1,2,1,9,14
"ENSMUSG00000116877",2,1,0,3,0,0,0,1,0
"ENSMUSG00000116878",0,0,0,0,3,5,0,0,0
"ENSMUSG00000116879",0,0,1,0,5,0,0,2,2
"ENSMUSG00000116880",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116881",47,75,70,409,16,7,40,37,144
"ENSMUSG00000116882",2,4,11,15,3,7,2,7,4
"ENSMUSG00000116883",43,50,1,48,16,18,2,46,133
"ENSMUSG00000116884",5,0,7,9,38,29,33,3,11
"ENSMUSG00000116885",7,2,2,21,11,31,7,29,44
"ENSMUSG00000116886",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116887",1,0,0,0,0,0,0,0,0
"ENSMUSG00000116888",18,12,12,84,21,12,17,8,31
"ENSMUSG00000116889",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116890",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116891",40,39,60,79,2,6,51,19,192
"ENSMUSG00000116892",0,1,0,0,0,0,0,0,0
"ENSMUSG00000116893",0,0,0,0,0,0,0,0,0
"ENSMUSG00000116894",0,0,0,0,0,1,3,6,2
"ENSMUSG00000116895",4,21,9,32,67,17,12,16,39
"ENSMUSG00000116896",0,0,0,0,0,0,0,0,0
