"","Mouse_hippocampus_1-2","Mouse_hippocampus_11-12","Mouse_hippocampus_13-14","Mouse_hippocampus_15-16","Mouse_hippocampus_3-4","Mouse_hippocampus_5-6","Mouse_hippocampus_7-8","Mouse_hippocampus_9-10"
"ENSMUSG00000110432",0,0,0,0,0,0,0,0
"ENSMUSG00000110433",4,0,4,5,5,0,1,1
"ENSMUSG00000110434",0,0,0,0,0,0,0,0
"ENSMUSG00000110435",0,0,0,0,0,0,0,0
"ENSMUSG00000110437",0,0,0,1,1,0,0,0
"ENSMUSG00000110438",0,0,0,0,0,1,0,0
"ENSMUSG00000110439",0,0,0,0,0,0,0,0
"ENSMUSG00000110440",0,0,0,0,1,0,1,0
"ENSMUSG00000110441",17,12,15,32,13,16,1,19
"ENSMUSG00000110442",1,3,5,3,7,4,0,8
"ENSMUSG00000110443",0,0,0,1,0,0,0,1
"ENSMUSG00000110444",393,285,548,541,540,386,25,375
"ENSMUSG00000110445",0,0,0,0,0,0,0,0
"ENSMUSG00000110446",0,0,8,4,2,4,3,2
"ENSMUSG00000110447",10,9,7,18,15,17,26,15
"ENSMUSG00000110448",0,0,0,0,0,0,0,0
"ENSMUSG00000110449",0,0,0,0,0,0,0,0
"ENSMUSG00000110450",0,0,0,0,0,0,0,0
"ENSMUSG00000110452",0,0,0,0,0,0,0,0
"ENSMUSG00000110453",0,0,1,0,0,1,0,0
"ENSMUSG00000110454",0,0,0,0,1,0,0,0
"ENSMUSG00000110455",3,2,9,7,6,6,0,14
"ENSMUSG00000110456",2,1,1,1,3,2,3,1
"ENSMUSG00000110457",0,0,0,0,0,0,0,0
"ENSMUSG00000110458",11,16,14,14,6,10,7,3
"ENSMUSG00000110459",0,0,0,0,0,0,0,0
"ENSMUSG00000110460",1,0,0,0,1,0,1,0
"ENSMUSG00000110461",0,0,0,0,0,0,0,0
"ENSMUSG00000110462",5,5,3,7,7,6,2,5
"ENSMUSG00000110463",0,0,0,0,0,0,0,0
"ENSMUSG00000110464",0,0,3,0,0,0,0,0
"ENSMUSG00000110465",0,0,0,0,0,0,0,2
"ENSMUSG00000110466",0,0,0,0,0,0,0,0
"ENSMUSG00000110467",0,0,0,1,0,0,0,0
"ENSMUSG00000110468",1,0,2,1,0,0,3,1
"ENSMUSG00000110469",3,7,3,2,5,1,9,3
"ENSMUSG00000110470",0,0,0,0,0,0,0,0
"ENSMUSG00000110471",0,0,0,0,0,0,0,0
"ENSMUSG00000110472",0,0,0,0,0,0,0,0
"ENSMUSG00000110473",0,0,0,0,0,0,0,0
"ENSMUSG00000110474",0,0,0,0,0,0,0,0
"ENSMUSG00000110475",2,1,0,2,4,2,0,0
"ENSMUSG00000110476",2,0,0,0,0,1,0,0
"ENSMUSG00000110477",2,1,4,0,0,2,0,3
"ENSMUSG00000110478",0,0,0,0,0,0,0,0
"ENSMUSG00000110479",0,0,0,0,0,0,0,0
"ENSMUSG00000110480",0,0,0,2,0,0,0,0
"ENSMUSG00000110481",0,0,0,0,0,0,0,0
"ENSMUSG00000110482",0,0,0,0,0,0,0,0
"ENSMUSG00000110483",1,2,0,1,3,1,8,0
"ENSMUSG00000110484",0,0,0,0,0,0,0,1
"ENSMUSG00000110485",0,0,1,0,0,0,0,0
"ENSMUSG00000110486",0,0,2,0,0,0,0,0
"ENSMUSG00000110487",0,0,0,0,0,0,0,0
"ENSMUSG00000110488",0,0,0,0,0,0,0,0
"ENSMUSG00000110489",0,0,0,0,0,0,0,0
"ENSMUSG00000110490",1,0,0,0,0,0,0,1
"ENSMUSG00000110491",0,0,0,0,0,0,0,0
"ENSMUSG00000110492",0,0,0,0,0,0,0,0
"ENSMUSG00000110493",0,0,0,0,0,0,0,0
"ENSMUSG00000110494",0,0,0,0,0,0,0,0
"ENSMUSG00000110495",0,0,1,0,0,0,0,0
"ENSMUSG00000110496",0,0,0,0,0,0,0,0
"ENSMUSG00000110497",0,0,0,0,0,0,0,0
"ENSMUSG00000110498",0,1,0,1,2,4,2,2
"ENSMUSG00000110499",5,8,4,6,4,4,0,6
"ENSMUSG00000110500",1,1,5,2,2,0,0,3
"ENSMUSG00000110501",0,0,0,1,2,0,0,0
"ENSMUSG00000110502",0,0,0,0,0,0,0,0
"ENSMUSG00000110503",0,0,0,0,0,0,0,0
"ENSMUSG00000110504",5,2,5,0,2,1,0,6
"ENSMUSG00000110505",0,0,0,0,0,0,0,0
"ENSMUSG00000110506",0,0,0,0,0,0,0,0
"ENSMUSG00000110507",0,0,2,0,1,0,1,0
"ENSMUSG00000110508",0,0,0,0,0,0,2,0
"ENSMUSG00000110509",0,0,0,0,0,0,0,0
"ENSMUSG00000110510",0,0,0,0,0,0,0,0
"ENSMUSG00000110511",0,0,0,0,0,0,0,0
"ENSMUSG00000110512",0,0,0,0,0,0,0,0
"ENSMUSG00000110513",0,0,0,0,0,0,0,0
"ENSMUSG00000110514",0,0,0,0,0,0,0,0
"ENSMUSG00000110515",0,0,1,0,2,0,4,1
"ENSMUSG00000110516",4,2,9,3,3,1,1,2
"ENSMUSG00000110517",1,0,1,3,1,0,0,2
"ENSMUSG00000110518",0,0,0,0,0,0,0,0
"ENSMUSG00000110519",0,0,0,0,2,0,0,0
"ENSMUSG00000110520",0,0,0,0,0,0,0,0
"ENSMUSG00000110521",7,3,16,22,7,6,0,12
"ENSMUSG00000110522",0,0,0,0,0,0,0,0
"ENSMUSG00000110523",303,315,278,332,433,298,554,225
"ENSMUSG00000110524",0,0,0,0,1,2,4,1
"ENSMUSG00000110525",4,1,1,1,2,2,0,2
"ENSMUSG00000110526",0,0,0,0,0,0,0,0
"ENSMUSG00000110527",0,0,0,0,0,0,0,0
"ENSMUSG00000110528",0,0,0,1,0,1,2,1
"ENSMUSG00000110529",20,6,21,14,20,22,5,17
"ENSMUSG00000110530",0,0,0,0,0,0,0,0
"ENSMUSG00000110531",0,0,0,0,0,0,0,0
"ENSMUSG00000110532",1,2,1,1,2,2,2,3
"ENSMUSG00000110533",1,0,0,0,0,2,0,0
"ENSMUSG00000110534",7,8,8,6,7,6,5,3
"ENSMUSG00000110535",0,0,0,0,0,0,0,0
"ENSMUSG00000110536",0,0,0,1,0,1,0,0
"ENSMUSG00000110537",1,0,0,1,0,1,1,0
"ENSMUSG00000110538",2,0,0,0,1,0,0,0
"ENSMUSG00000110539",0,0,3,1,2,0,0,0
"ENSMUSG00000110540",18,21,24,31,11,20,2,9
"ENSMUSG00000110541",0,0,0,0,0,0,0,1
"ENSMUSG00000110542",2,1,0,1,1,0,0,2
"ENSMUSG00000110543",0,0,0,0,0,0,0,0
"ENSMUSG00000110544",0,0,1,0,1,0,0,0
"ENSMUSG00000110545",4,4,2,2,1,3,11,3
"ENSMUSG00000110546",0,1,0,0,1,0,0,0
"ENSMUSG00000110547",12,8,12,15,13,13,7,12
"ENSMUSG00000110548",0,0,0,0,0,0,0,0
"ENSMUSG00000110549",1,0,0,0,0,1,5,1
"ENSMUSG00000110550",0,1,0,0,0,0,0,0
"ENSMUSG00000110551",1,0,2,2,0,2,0,0
"ENSMUSG00000110552",0,0,0,0,0,0,0,0
"ENSMUSG00000110553",0,0,0,0,0,0,0,0
"ENSMUSG00000110554",2,1,1,4,0,1,1,0
"ENSMUSG00000110555",0,0,0,0,0,0,0,0
"ENSMUSG00000110556",2,0,4,1,4,3,0,3
"ENSMUSG00000110557",0,0,0,0,0,0,0,0
"ENSMUSG00000110558",9,3,8,5,10,9,1,5
"ENSMUSG00000110559",10,7,13,10,10,14,1,5
"ENSMUSG00000110560",0,0,0,0,0,0,0,0
"ENSMUSG00000110561",0,0,0,0,0,1,1,0
"ENSMUSG00000110562",6,7,9,12,10,10,37,7
"ENSMUSG00000110563",5,0,4,2,1,1,0,1
"ENSMUSG00000110564",0,0,0,1,0,2,0,1
"ENSMUSG00000110565",0,0,0,0,0,1,0,0
"ENSMUSG00000110566",0,0,0,0,0,0,0,0
"ENSMUSG00000110567",0,0,0,0,0,0,0,0
"ENSMUSG00000110568",0,0,0,0,0,0,0,0
"ENSMUSG00000110569",9,8,4,8,21,5,4,5
"ENSMUSG00000110570",0,0,0,0,0,0,0,0
"ENSMUSG00000110571",0,0,0,0,0,0,0,0
"ENSMUSG00000110572",0,0,0,0,0,0,0,0
"ENSMUSG00000110573",0,0,0,0,0,0,0,0
"ENSMUSG00000110574",2,1,4,1,3,2,0,1
"ENSMUSG00000110575",2,10,9,17,9,12,10,9
"ENSMUSG00000110576",0,0,1,1,0,1,0,1
"ENSMUSG00000110577",0,0,0,1,1,0,0,0
"ENSMUSG00000110578",0,0,0,0,0,0,0,0
"ENSMUSG00000110580",8,13,15,12,8,10,2,6
"ENSMUSG00000110581",0,0,0,0,0,0,0,0
"ENSMUSG00000110582",0,0,0,0,0,0,0,0
"ENSMUSG00000110583",0,0,0,0,0,1,0,0
"ENSMUSG00000110585",1,0,1,1,1,2,0,6
"ENSMUSG00000110586",0,0,2,5,3,2,6,1
"ENSMUSG00000110587",0,0,0,0,0,0,0,0
"ENSMUSG00000110588",19,26,13,20,22,23,31,16
"ENSMUSG00000110589",1,0,2,1,0,1,0,1
"ENSMUSG00000110590",0,0,0,0,0,0,0,0
"ENSMUSG00000110591",1,0,0,1,1,0,0,2
"ENSMUSG00000110592",1,0,0,1,0,1,1,0
"ENSMUSG00000110593",0,2,2,1,2,0,0,0
"ENSMUSG00000110594",0,0,0,0,0,1,0,0
"ENSMUSG00000110595",0,0,1,0,0,0,0,0
"ENSMUSG00000110596",0,0,0,0,0,0,0,0
"ENSMUSG00000110597",0,0,0,0,0,0,0,0
"ENSMUSG00000110598",20,10,30,24,27,20,3,26
"ENSMUSG00000110599",0,0,0,2,3,0,0,2
"ENSMUSG00000110600",0,0,0,0,0,0,0,0
"ENSMUSG00000110601",0,0,2,1,3,0,0,0
"ENSMUSG00000110602",0,0,0,0,0,0,0,0
"ENSMUSG00000110603",0,0,0,0,0,0,0,0
"ENSMUSG00000110604",0,0,0,0,1,0,0,0
"ENSMUSG00000110605",76,58,99,86,79,62,3,65
"ENSMUSG00000110606",0,0,0,0,0,0,0,0
"ENSMUSG00000110607",0,0,0,0,0,0,0,0
"ENSMUSG00000110608",1,0,1,0,0,0,0,1
"ENSMUSG00000110609",0,0,0,0,0,0,0,0
"ENSMUSG00000110610",0,0,0,2,0,0,0,0
"ENSMUSG00000110611",41,55,61,44,58,47,51,37
"ENSMUSG00000110612",0,1,0,0,0,0,0,1
"ENSMUSG00000110613",0,0,0,1,0,0,0,0
"ENSMUSG00000110614",0,1,0,0,0,0,0,0
"ENSMUSG00000110615",3,1,7,5,5,2,7,5
"ENSMUSG00000110616",0,0,1,7,5,6,0,3
"ENSMUSG00000110617",0,4,5,3,2,1,5,2
"ENSMUSG00000110618",66,69,87,83,124,71,61,65
"ENSMUSG00000110619",0,0,0,1,1,0,0,0
"ENSMUSG00000110620",1,0,0,0,0,0,0,0
"ENSMUSG00000110621",0,0,0,0,0,0,0,0
"ENSMUSG00000110622",2,4,3,2,3,7,5,3
"ENSMUSG00000110623",2,1,3,2,3,2,0,2
"ENSMUSG00000110624",0,0,1,0,0,0,0,0
"ENSMUSG00000110625",0,0,2,0,0,0,0,0
"ENSMUSG00000110626",0,0,3,0,0,0,1,0
"ENSMUSG00000110627",3,1,3,1,4,1,0,0
"ENSMUSG00000110628",0,0,0,0,0,0,0,0
"ENSMUSG00000110629",4,0,8,7,1,0,4,2
"ENSMUSG00000110630",19,17,12,19,18,16,40,15
"ENSMUSG00000110631",6,10,11,28,16,39,6,7
"ENSMUSG00000110632",1,0,0,0,0,0,0,0
"ENSMUSG00000110633",2,0,2,6,0,6,0,2
"ENSMUSG00000110634",0,0,1,0,0,0,0,0
"ENSMUSG00000110635",8,3,19,12,15,13,0,21
"ENSMUSG00000110636",3,0,1,0,2,3,3,3
"ENSMUSG00000110637",2,1,1,4,3,6,1,0
"ENSMUSG00000110638",9,4,14,5,8,6,0,1
"ENSMUSG00000110639",0,1,0,0,1,1,0,1
"ENSMUSG00000110640",0,0,1,0,1,0,1,0
"ENSMUSG00000110641",0,1,0,1,0,0,0,0
"ENSMUSG00000110642",0,0,0,1,0,1,0,0
"ENSMUSG00000110643",0,0,0,0,0,0,0,0
"ENSMUSG00000110644",1,0,1,6,4,1,1,1
"ENSMUSG00000110645",0,0,0,0,0,0,0,0
"ENSMUSG00000110646",0,0,0,0,0,0,0,0
"ENSMUSG00000110647",3,0,2,4,0,0,0,1
"ENSMUSG00000110648",0,0,1,0,2,1,0,1
"ENSMUSG00000110649",17,12,23,30,24,21,12,28
"ENSMUSG00000110650",1,1,0,0,0,0,0,0
"ENSMUSG00000110651",0,0,1,0,0,0,0,0
"ENSMUSG00000110652",5,2,4,3,2,7,3,0
"ENSMUSG00000110653",9,14,11,13,17,10,24,15
"ENSMUSG00000110654",0,0,0,0,0,0,0,0
"ENSMUSG00000110655",0,0,0,0,0,0,0,0
"ENSMUSG00000110656",0,1,1,1,0,0,0,0
"ENSMUSG00000110657",4,2,4,0,7,3,0,6
"ENSMUSG00000110658",1,0,1,0,0,1,0,0
"ENSMUSG00000110659",0,0,0,0,0,0,0,0
"ENSMUSG00000110660",1,0,3,0,0,0,0,0
"ENSMUSG00000110661",1,0,1,1,1,1,2,2
"ENSMUSG00000110662",0,1,0,0,1,0,0,0
"ENSMUSG00000110663",0,0,0,0,0,0,0,0
"ENSMUSG00000110664",9,7,11,9,9,5,1,9
"ENSMUSG00000110665",0,0,0,2,3,1,0,4
"ENSMUSG00000110666",1,0,0,0,0,0,0,0
"ENSMUSG00000110667",0,0,0,0,0,0,0,0
"ENSMUSG00000110668",0,0,0,0,0,0,0,0
"ENSMUSG00000110669",39,23,41,42,47,38,7,27
"ENSMUSG00000110670",0,0,0,0,0,0,0,0
"ENSMUSG00000110671",0,0,0,0,0,0,0,0
"ENSMUSG00000110672",5,4,3,7,7,3,0,4
"ENSMUSG00000110673",9,3,4,3,5,1,9,7
"ENSMUSG00000110674",0,0,0,0,0,0,0,0
"ENSMUSG00000110675",0,0,0,0,0,0,0,0
"ENSMUSG00000110676",0,0,0,0,1,1,0,0
"ENSMUSG00000110677",0,0,0,0,0,0,0,0
"ENSMUSG00000110678",0,0,0,0,0,0,0,0
"ENSMUSG00000110679",1,1,1,0,1,0,1,0
"ENSMUSG00000110680",0,0,0,0,0,0,0,0
"ENSMUSG00000110681",0,0,1,0,0,0,0,0
"ENSMUSG00000110682",1,0,2,0,0,1,0,1
"ENSMUSG00000110683",9,0,3,5,6,5,0,6
"ENSMUSG00000110684",3,0,0,1,1,0,0,0
"ENSMUSG00000110685",1,0,3,0,1,0,0,1
"ENSMUSG00000110686",3,1,3,3,3,5,14,4
"ENSMUSG00000110687",0,0,0,0,0,0,0,0
"ENSMUSG00000110688",0,0,2,4,2,4,0,0
"ENSMUSG00000110689",3,1,2,4,2,1,0,2
"ENSMUSG00000110690",1,3,0,1,2,0,3,2
"ENSMUSG00000110691",0,0,0,1,0,0,0,0
"ENSMUSG00000110692",0,0,0,1,1,0,0,0
"ENSMUSG00000110693",0,0,0,0,0,0,0,0
"ENSMUSG00000110694",0,0,0,0,0,0,0,0
"ENSMUSG00000110695",0,0,0,0,0,0,0,0
"ENSMUSG00000110696",0,0,0,0,0,0,0,0
"ENSMUSG00000110697",1,4,1,5,3,3,3,1
"ENSMUSG00000110698",2,3,4,2,3,2,0,2
"ENSMUSG00000110699",0,0,0,0,0,0,0,0
"ENSMUSG00000110700",0,1,0,0,0,0,0,0
"ENSMUSG00000110701",31,12,31,49,30,24,14,24
"ENSMUSG00000110702",63,36,86,71,60,52,42,60
"ENSMUSG00000110703",0,0,0,0,0,0,0,0
"ENSMUSG00000110704",0,0,0,0,0,0,0,0
"ENSMUSG00000110705",0,0,1,0,0,0,0,0
"ENSMUSG00000110706",8,4,6,3,1,2,4,3
"ENSMUSG00000110707",0,0,0,0,0,0,1,0
"ENSMUSG00000110708",0,0,0,0,0,0,0,0
"ENSMUSG00000110709",0,0,0,0,0,0,0,0
"ENSMUSG00000110710",229,129,225,195,235,184,15,104
"ENSMUSG00000110711",1,2,3,2,3,5,0,1
"ENSMUSG00000110712",2,2,1,1,1,3,0,1
"ENSMUSG00000110713",1,3,3,6,3,2,2,1
"ENSMUSG00000110714",0,0,0,0,0,0,0,0
"ENSMUSG00000110715",0,0,0,0,0,0,0,0
"ENSMUSG00000110716",4,2,2,4,3,0,1,0
"ENSMUSG00000110717",0,0,0,0,0,0,0,1
"ENSMUSG00000110718",0,0,0,0,0,0,0,0
"ENSMUSG00000110719",0,0,0,0,1,1,1,1
"ENSMUSG00000110720",0,0,0,0,0,0,0,0
"ENSMUSG00000110721",0,1,0,0,1,0,0,0
"ENSMUSG00000110722",1,0,3,2,2,2,0,8
"ENSMUSG00000110723",0,0,0,0,0,0,0,0
"ENSMUSG00000110724",0,0,0,0,0,0,0,0
"ENSMUSG00000110725",0,0,0,0,0,0,0,0
"ENSMUSG00000110726",32,37,38,43,54,42,88,37
"ENSMUSG00000110727",11,2,24,16,12,12,9,12
"ENSMUSG00000110729",1,0,12,8,0,1,4,1
"ENSMUSG00000110730",2,3,1,3,3,1,0,3
"ENSMUSG00000110731",0,0,0,0,0,0,0,0
"ENSMUSG00000110732",0,0,0,0,0,0,0,0
"ENSMUSG00000110734",0,0,0,0,0,0,0,0
"ENSMUSG00000110735",1,1,21,28,25,35,0,18
"ENSMUSG00000110736",0,0,0,0,0,0,0,0
"ENSMUSG00000110737",2,10,2,5,12,4,0,2
"ENSMUSG00000110738",1,0,0,0,0,1,0,3
"ENSMUSG00000110739",0,0,0,0,1,0,0,1
"ENSMUSG00000110740",1,1,2,4,0,5,1,1
"ENSMUSG00000110741",0,1,3,2,0,0,0,0
"ENSMUSG00000110744",1,4,5,10,6,7,1,4
"ENSMUSG00000110745",0,0,0,0,0,0,0,0
"ENSMUSG00000110747",4,5,1,1,8,3,2,7
"ENSMUSG00000110748",0,0,0,0,0,0,0,0
"ENSMUSG00000110749",1,0,1,0,2,0,1,1
"ENSMUSG00000110750",1,0,0,0,0,0,0,0
"ENSMUSG00000110751",2,0,1,2,5,0,0,5
"ENSMUSG00000110752",0,1,6,10,5,2,2,2
"ENSMUSG00000110753",0,1,0,0,0,0,0,0
"ENSMUSG00000110754",3,2,5,0,4,1,0,2
"ENSMUSG00000110755",2,1,0,0,1,0,0,0
"ENSMUSG00000110756",0,0,0,0,0,0,0,0
"ENSMUSG00000110757",0,0,0,0,0,0,0,0
"ENSMUSG00000110758",0,0,1,0,0,0,0,1
"ENSMUSG00000110759",0,0,0,1,2,0,0,0
"ENSMUSG00000110760",4,7,6,6,5,3,4,7
"ENSMUSG00000110761",1,0,0,0,0,1,0,0
"ENSMUSG00000110762",0,0,0,0,0,0,0,0
"ENSMUSG00000110765",0,0,0,0,2,0,0,0
"ENSMUSG00000110766",0,0,0,0,0,0,0,0
"ENSMUSG00000110767",2,1,3,2,6,7,5,2
"ENSMUSG00000110768",9,5,3,6,3,4,1,4
"ENSMUSG00000110769",0,0,0,0,0,0,0,0
"ENSMUSG00000110770",0,0,0,0,0,0,0,0
"ENSMUSG00000110771",0,0,0,0,1,0,0,1
"ENSMUSG00000110772",3,5,6,5,8,6,0,8
"ENSMUSG00000110773",15,7,12,14,16,18,7,13
"ENSMUSG00000110774",1,3,0,0,2,1,2,3
"ENSMUSG00000110776",0,0,0,0,1,0,0,0
"ENSMUSG00000110778",0,0,0,0,1,0,0,0
"ENSMUSG00000110779",0,0,0,0,0,0,0,0
"ENSMUSG00000110780",0,0,0,0,0,0,0,0
"ENSMUSG00000110781",0,1,0,0,0,0,0,0
"ENSMUSG00000110782",0,0,0,0,0,0,0,0
"ENSMUSG00000110783",0,0,0,0,0,0,0,0
"ENSMUSG00000110784",6,3,6,4,7,4,0,2
"ENSMUSG00000110786",0,0,1,0,0,0,0,0
"ENSMUSG00000110787",0,0,0,0,0,0,0,0
"ENSMUSG00000110788",0,0,0,0,0,0,0,0
"ENSMUSG00000110789",0,0,1,0,2,0,0,0
"ENSMUSG00000110790",33,13,19,26,25,21,56,16
"ENSMUSG00000110791",14,5,22,18,20,9,4,8
"ENSMUSG00000110792",0,0,0,0,0,0,0,0
"ENSMUSG00000110793",0,0,0,0,0,0,0,0
"ENSMUSG00000110794",0,0,0,0,0,0,0,0
"ENSMUSG00000110795",3,2,8,3,3,9,0,1
"ENSMUSG00000110799",0,0,0,0,0,0,0,0
"ENSMUSG00000110801",0,0,0,0,0,0,0,2
"ENSMUSG00000110802",0,0,0,1,0,0,1,0
"ENSMUSG00000110803",1,1,1,0,2,0,0,1
"ENSMUSG00000110804",0,0,0,0,0,0,0,0
"ENSMUSG00000110808",0,0,0,0,0,0,0,0
"ENSMUSG00000110809",0,0,0,0,0,0,0,0
"ENSMUSG00000110810",0,0,0,0,0,0,0,0
"ENSMUSG00000110811",0,0,0,0,0,0,0,0
"ENSMUSG00000110812",0,0,0,0,0,0,0,0
"ENSMUSG00000110813",0,0,0,0,0,0,0,0
"ENSMUSG00000110814",4,1,4,0,6,3,2,1
"ENSMUSG00000110815",0,0,0,0,0,1,0,0
"ENSMUSG00000110816",8,3,11,7,9,8,5,10
"ENSMUSG00000110817",0,0,0,0,0,0,0,1
"ENSMUSG00000110819",0,0,0,0,0,0,0,0
"ENSMUSG00000110821",0,0,0,0,0,0,0,0
"ENSMUSG00000110822",1,0,0,1,0,1,0,0
"ENSMUSG00000110823",2,1,1,0,0,1,2,0
"ENSMUSG00000110824",5,2,2,1,4,4,0,5
"ENSMUSG00000110825",2,2,2,2,2,1,1,2
"ENSMUSG00000110826",0,0,0,0,0,0,1,0
"ENSMUSG00000110827",13,9,6,5,13,11,0,4
"ENSMUSG00000110828",0,0,0,0,0,0,0,0
"ENSMUSG00000110829",0,0,0,0,0,0,0,0
"ENSMUSG00000110830",13,15,25,27,35,32,2,24
"ENSMUSG00000110831",2,0,0,1,3,2,3,0
"ENSMUSG00000110832",0,0,0,2,2,1,0,0
"ENSMUSG00000110833",0,0,1,0,1,1,0,0
"ENSMUSG00000110834",82,75,112,113,115,86,30,103
"ENSMUSG00000110835",0,0,0,0,0,0,0,0
"ENSMUSG00000110836",0,1,1,1,0,0,0,0
"ENSMUSG00000110837",0,0,0,0,0,0,0,0
"ENSMUSG00000110838",0,0,0,0,0,0,0,0
"ENSMUSG00000110839",0,0,0,0,0,0,0,0
"ENSMUSG00000110840",2,1,0,0,1,0,0,0
"ENSMUSG00000110841",113,66,152,190,131,139,603,104
"ENSMUSG00000110843",3,1,2,4,7,5,0,5
"ENSMUSG00000110844",0,0,0,0,0,1,0,0
"ENSMUSG00000110845",0,2,1,1,1,1,1,1
"ENSMUSG00000110846",0,0,0,0,0,0,0,0
"ENSMUSG00000110847",0,0,0,0,0,0,0,0
"ENSMUSG00000110848",1,0,0,0,2,0,0,0
"ENSMUSG00000110849",0,0,0,0,0,0,0,0
"ENSMUSG00000110851",0,0,0,1,0,0,0,0
"ENSMUSG00000110853",0,0,0,0,0,0,0,0
"ENSMUSG00000110854",0,0,0,0,0,0,0,0
"ENSMUSG00000110855",0,0,0,0,0,0,0,0
"ENSMUSG00000110856",0,0,0,0,0,0,0,0
"ENSMUSG00000110857",0,0,0,0,0,0,0,0
"ENSMUSG00000110858",0,0,0,0,0,0,0,0
"ENSMUSG00000110862",6,9,9,13,10,13,5,14
"ENSMUSG00000110863",22,24,15,16,16,21,18,23
"ENSMUSG00000110864",0,0,0,2,1,0,1,1
"ENSMUSG00000110865",0,0,0,0,0,0,0,0
"ENSMUSG00000110866",0,0,0,0,0,0,0,0
"ENSMUSG00000110867",0,0,1,0,1,0,0,0
"ENSMUSG00000110869",2,5,3,4,3,0,0,0
"ENSMUSG00000110870",0,0,0,0,0,0,0,0
"ENSMUSG00000110872",0,0,0,0,0,0,0,0
"ENSMUSG00000110873",0,0,0,0,0,0,0,0
"ENSMUSG00000110874",2,4,7,7,4,2,3,5
"ENSMUSG00000110875",0,0,0,0,0,0,0,0
"ENSMUSG00000110876",0,0,0,0,0,0,0,0
"ENSMUSG00000110877",1,0,1,1,1,0,0,0
"ENSMUSG00000110878",0,0,0,0,0,0,0,0
"ENSMUSG00000110879",0,0,0,0,0,0,0,0
"ENSMUSG00000110880",0,0,0,0,0,0,0,0
"ENSMUSG00000110881",0,0,0,0,0,0,0,0
"ENSMUSG00000110882",0,0,1,0,0,1,0,0
"ENSMUSG00000110884",0,0,0,0,0,0,0,0
"ENSMUSG00000110885",0,1,1,4,1,2,1,0
"ENSMUSG00000110886",0,0,0,0,0,0,0,0
"ENSMUSG00000110887",0,0,0,0,2,0,1,0
"ENSMUSG00000110888",0,0,0,1,0,0,0,0
"ENSMUSG00000110889",0,0,0,0,0,0,0,0
"ENSMUSG00000110891",0,0,0,0,0,0,0,0
"ENSMUSG00000110892",0,0,0,0,0,0,0,0
"ENSMUSG00000110893",0,0,0,0,0,0,0,0
"ENSMUSG00000110894",0,1,2,1,2,0,0,1
"ENSMUSG00000110895",4,6,16,7,4,11,0,9
"ENSMUSG00000110896",0,0,0,0,0,0,0,0
"ENSMUSG00000110897",0,0,0,0,0,0,0,0
"ENSMUSG00000110898",0,0,0,0,0,0,0,0
"ENSMUSG00000110899",2,0,0,1,0,3,3,1
"ENSMUSG00000110901",5,6,9,6,10,12,6,5
"ENSMUSG00000110902",0,1,0,1,2,0,3,2
"ENSMUSG00000110903",1,1,3,3,2,2,1,3
"ENSMUSG00000110905",0,0,1,0,0,0,1,0
"ENSMUSG00000110908",0,0,0,0,0,0,0,0
"ENSMUSG00000110909",0,0,0,0,0,0,0,0
"ENSMUSG00000110910",3,2,0,1,0,2,0,1
"ENSMUSG00000110911",0,0,0,0,0,0,0,0
"ENSMUSG00000110912",0,0,0,0,0,0,0,0
"ENSMUSG00000110913",0,0,0,0,0,0,0,0
"ENSMUSG00000110914",5,3,3,2,1,5,0,9
"ENSMUSG00000110915",2,0,2,2,4,1,0,4
"ENSMUSG00000110916",0,0,0,0,0,0,0,0
"ENSMUSG00000110917",0,0,0,0,0,0,0,0
"ENSMUSG00000110918",0,0,0,0,0,0,0,0
"ENSMUSG00000110919",0,0,0,0,0,0,0,0
"ENSMUSG00000110920",0,0,0,0,0,1,0,0
"ENSMUSG00000110922",0,0,0,0,0,0,0,0
"ENSMUSG00000110923",0,0,0,0,0,0,0,0
"ENSMUSG00000110924",146,44,94,164,95,158,26,142
"ENSMUSG00000110925",0,0,0,0,0,0,0,0
"ENSMUSG00000110926",1,1,0,0,2,2,0,0
"ENSMUSG00000110927",0,0,0,0,0,0,0,0
"ENSMUSG00000110928",3,4,14,7,14,15,1,9
"ENSMUSG00000110929",1,0,2,5,0,1,2,0
"ENSMUSG00000110930",0,2,1,0,0,0,0,0
"ENSMUSG00000110932",0,0,0,0,0,0,0,0
"ENSMUSG00000110935",4,4,4,2,2,0,7,1
"ENSMUSG00000110936",0,0,0,0,0,0,0,0
"ENSMUSG00000110937",0,1,2,1,0,0,0,0
"ENSMUSG00000110938",0,0,0,0,0,0,0,0
"ENSMUSG00000110940",0,0,0,0,0,0,0,0
"ENSMUSG00000110941",0,0,0,0,0,0,0,0
"ENSMUSG00000110942",0,0,0,0,0,0,0,0
"ENSMUSG00000110943",0,0,0,0,0,0,0,0
"ENSMUSG00000110944",0,0,0,0,0,0,0,0
"ENSMUSG00000110945",33,26,37,49,66,40,19,34
"ENSMUSG00000110946",0,1,0,0,0,0,0,1
"ENSMUSG00000110947",0,0,0,0,0,0,0,0
"ENSMUSG00000110949",0,0,2,0,0,2,2,0
"ENSMUSG00000110950",0,0,0,0,0,1,0,0
"ENSMUSG00000110951",0,0,0,0,0,0,0,0
"ENSMUSG00000110952",0,0,0,0,1,0,0,0
