"","RR3_BRN_FLT_F1","RR3_BRN_FLT_F2","RR3_BRN_FLT_F7","RR3_BRN_GC_G7","RR3_BRN_GC_G8","RR3_BRN_GC_G9"
"ENSMUSG00000002963",429,437,534,460,517,429
"ENSMUSG00000002968",1331,1454,1058,1215,1326,1127
"ENSMUSG00000002980",517,481,602,531,545,491
"ENSMUSG00000002981",5297,4616,5084,4781,5068,5087
"ENSMUSG00000002983",92,45,97,121,79,65
"ENSMUSG00000002984",1850,1482,1497,1545,1767,1791
"ENSMUSG00000002985",61315,52885,60012,58792,59650,57254
"ENSMUSG00000002992",0,0,0,0,0,0
"ENSMUSG00000002996",766,816,834,818,1116,791
"ENSMUSG00000002997",2168,2121,2256,2370,3025,2081
"ENSMUSG00000003031",1671,1941,1775,1851,2274,1804
"ENSMUSG00000003032",146,114,204,193,253,205
"ENSMUSG00000003033",2196,1716,1805,1712,2017,1718
"ENSMUSG00000003037",1930,1767,2043,2121,2076,2132
"ENSMUSG00000003038",290,233,270,259,351,221
"ENSMUSG00000003039",3466,3435,3701,3779,4049,3603
"ENSMUSG00000003051",2,0,5,0,6,0
"ENSMUSG00000003053",0,0,0,0,0,0
"ENSMUSG00000003062",364,453,437,421,516,390
"ENSMUSG00000003068",1789,1931,1522,1630,1971,1818
"ENSMUSG00000003070",157,83,104,122,217,163
"ENSMUSG00000003072",4402,4237,4642,4569,4746,3709
"ENSMUSG00000003099",2691,2735,2769,2716,3012,2544
"ENSMUSG00000003119",2408,2042,1870,2036,2142,2451
"ENSMUSG00000003123",211,216,211,239,225,199
"ENSMUSG00000003131",6531,6489,7237,7610,7054,6915
"ENSMUSG00000003134",585,414,619,659,804,602
"ENSMUSG00000003135",1118,883,1165,1252,1078,1220
"ENSMUSG00000003153",3012,2848,3332,3014,4224,2891
"ENSMUSG00000003154",1179,1161,996,1010,1149,1168
"ENSMUSG00000003161",1677,1704,1822,1711,2095,1867
"ENSMUSG00000003166",1252,1129,1261,1436,1472,1411
"ENSMUSG00000003184",278,286,281,301,278,280
"ENSMUSG00000003190",33,40,33,49,22,25
"ENSMUSG00000003198",257,210,245,315,316,328
"ENSMUSG00000003199",1427,1364,1261,1297,1349,1327
"ENSMUSG00000003200",469,367,470,369,539,422
"ENSMUSG00000003206",21,29,17,12,27,30
"ENSMUSG00000003208",250,148,190,157,211,208
"ENSMUSG00000003226",12700,12029,13507,14679,14387,14168
"ENSMUSG00000003227",15,4,5,7,3,7
"ENSMUSG00000003228",1942,2365,1991,2206,1752,2108
"ENSMUSG00000003233",1823,1900,1419,1601,1577,1741
"ENSMUSG00000003234",1827,1366,2022,1885,2091,1790
"ENSMUSG00000003235",1831,1740,2252,2192,2001,2271
"ENSMUSG00000003269",2725,2116,2589,2576,2233,2588
"ENSMUSG00000003271",209,162,169,205,276,175
"ENSMUSG00000003273",3428,3174,3448,3632,3268,3557
"ENSMUSG00000003279",27951,24974,25159,26121,25212,28580
"ENSMUSG00000003282",149,163,127,147,154,163
"ENSMUSG00000003283",64,53,102,79,55,44
"ENSMUSG00000003299",834,711,881,771,797,778
"ENSMUSG00000003308",2309,2061,1963,1693,2533,2085
"ENSMUSG00000003309",11,22,9,25,40,8
"ENSMUSG00000003316",9871,9020,9398,9880,10334,10059
"ENSMUSG00000003341",4,2,8,2,6,6
"ENSMUSG00000003344",1843,1879,1600,1647,2189,1526
"ENSMUSG00000003345",3469,3959,3160,3051,3415,3005
"ENSMUSG00000003346",1179,1806,1184,1048,1304,793
"ENSMUSG00000003348",252,374,258,254,430,240
"ENSMUSG00000003352",9518,11151,9993,11672,7387,10908
"ENSMUSG00000003354",301,294,287,312,351,379
"ENSMUSG00000003355",12,17,27,13,27,21
"ENSMUSG00000003360",3471,2756,2962,3191,3178,3959
"ENSMUSG00000003363",19065,20502,20040,20553,18390,17668
"ENSMUSG00000003378",5859,6836,4337,4763,6018,4838
"ENSMUSG00000003379",3,2,14,31,29,14
"ENSMUSG00000003380",479,510,484,377,556,296
"ENSMUSG00000003382",766,701,848,853,850,942
"ENSMUSG00000003402",1397,981,1302,1318,1476,1260
"ENSMUSG00000003410",6495,6686,5677,6538,7071,6694
"ENSMUSG00000003411",1113,775,1106,985,2444,1037
"ENSMUSG00000003418",152,233,169,223,137,213
"ENSMUSG00000003420",386,412,406,325,474,279
"ENSMUSG00000003421",1254,902,1068,1147,1063,1062
"ENSMUSG00000003423",925,797,881,878,912,912
"ENSMUSG00000003429",4037,5394,6981,5939,6271,4207
"ENSMUSG00000003435",5887,4236,5155,5362,4666,5818
"ENSMUSG00000003436",14,37,30,44,57,18
"ENSMUSG00000003437",1738,1310,1767,1900,1756,1913
"ENSMUSG00000003438",319,353,387,444,458,395
"ENSMUSG00000003444",430,338,403,463,472,369
"ENSMUSG00000003452",4453,4417,4272,4559,5682,5303
"ENSMUSG00000003458",1746,1698,1990,2116,1911,1744
"ENSMUSG00000003464",1849,2059,2158,2198,2132,1787
"ENSMUSG00000003469",14365,13802,12510,13569,12898,13972
"ENSMUSG00000003476",7,6,6,0,47,5
"ENSMUSG00000003477",2,0,8,19,1,7
"ENSMUSG00000003484",0,0,2,0,0,0
"ENSMUSG00000003500",989,1036,934,1138,1001,802
"ENSMUSG00000003505",0,0,0,0,0,0
"ENSMUSG00000003518",7931,8592,9005,10103,7122,7700
"ENSMUSG00000003526",750,789,680,732,679,908
"ENSMUSG00000003527",704,733,752,812,741,850
"ENSMUSG00000003528",610,661,705,793,745,475
"ENSMUSG00000003531",827,962,976,915,1235,652
"ENSMUSG00000003534",1197,835,1032,919,1025,979
"ENSMUSG00000003541",154,116,222,169,152,210
"ENSMUSG00000003545",507,270,362,356,654,407
"ENSMUSG00000003546",530,561,482,486,594,472
"ENSMUSG00000003549",256,291,356,382,336,258
"ENSMUSG00000003555",0,0,0,0,0,4
"ENSMUSG00000003559",492,531,554,583,422,471
"ENSMUSG00000003573",98,136,108,101,127,103
"ENSMUSG00000003575",6962,8170,5992,7247,6336,6841
"ENSMUSG00000003581",515,481,489,529,526,462
"ENSMUSG00000003585",1411,1547,1587,1635,1439,1466
"ENSMUSG00000003604",218,224,243,255,196,230
"ENSMUSG00000003617",896,558,960,1124,996,956
"ENSMUSG00000003623",889,1300,1253,1273,918,1133
"ENSMUSG00000003644",388,388,481,459,437,331
"ENSMUSG00000003657",576,235,514,420,594,304
"ENSMUSG00000003660",7538,6316,7126,7613,7942,7635
"ENSMUSG00000003662",1806,1695,2127,1912,2065,1993
"ENSMUSG00000003665",22,28,30,17,46,17
"ENSMUSG00000003680",328,242,272,270,291,237
"ENSMUSG00000003721",1182,1384,1660,1726,1524,1185
"ENSMUSG00000003731",4205,3995,4016,4313,4322,4099
"ENSMUSG00000003746",1936,1673,1796,1697,3164,1676
"ENSMUSG00000003752",237,204,215,167,252,281
"ENSMUSG00000003762",436,502,413,437,510,494
"ENSMUSG00000003778",3073,2410,2715,3120,3250,3474
"ENSMUSG00000003779",28,25,34,40,53,33
"ENSMUSG00000003808",630,567,605,631,639,543
"ENSMUSG00000003809",616,553,681,644,811,597
"ENSMUSG00000003810",5179,6161,5174,5687,5402,5536
"ENSMUSG00000003812",104,122,120,121,117,92
"ENSMUSG00000003813",1085,1108,1217,1270,1145,953
"ENSMUSG00000003814",17896,13492,18857,18453,18242,19458
"ENSMUSG00000003824",41,35,28,45,75,36
"ENSMUSG00000003847",6446,5763,5372,6282,6615,6556
"ENSMUSG00000003848",493,402,422,429,405,463
"ENSMUSG00000003849",127,89,144,185,159,121
"ENSMUSG00000003863",6556,8612,6341,6476,5655,7432
"ENSMUSG00000003865",582,616,537,659,581,645
"ENSMUSG00000003868",526,424,494,436,623,446
"ENSMUSG00000003872",897,1149,965,891,1064,1003
"ENSMUSG00000003873",229,272,271,220,350,239
"ENSMUSG00000003882",87,91,61,58,14,60
"ENSMUSG00000003923",909,871,1087,997,1096,980
"ENSMUSG00000003929",1415,1468,1404,1437,1648,1570
"ENSMUSG00000003934",1067,560,789,715,1705,709
"ENSMUSG00000003948",6008,6271,6521,6552,5021,5727
"ENSMUSG00000003949",8424,9177,7747,8777,7501,10023
"ENSMUSG00000003955",430,403,511,465,473,409
"ENSMUSG00000003970",6432,6798,7437,7112,8216,6068
"ENSMUSG00000003974",8336,11378,10648,11362,6618,10257
"ENSMUSG00000003992",4959,4328,4825,5224,6574,5094
"ENSMUSG00000004018",196,239,235,204,300,162
"ENSMUSG00000004031",3541,3281,4050,3755,3424,3669
"ENSMUSG00000004032",3167,4118,4640,4910,4038,3455
"ENSMUSG00000004035",601,239,394,383,434,363
"ENSMUSG00000004038",0,2,0,0,4,4
"ENSMUSG00000004040",1668,1537,1664,1784,1547,1538
"ENSMUSG00000004043",84,77,62,61,28,96
"ENSMUSG00000004044",579,412,729,703,693,563
"ENSMUSG00000004054",345,296,279,225,335,312
"ENSMUSG00000004056",3714,4350,3979,4685,2590,3688
"ENSMUSG00000004069",1776,1622,1882,2049,1981,1845
"ENSMUSG00000004070",3204,2729,3134,3549,3070,3424
"ENSMUSG00000004071",4927,4858,5714,5605,5944,4285
"ENSMUSG00000004085",893,845,898,882,772,1045
"ENSMUSG00000004096",2842,2328,3128,3190,2988,3294
"ENSMUSG00000004098",47,60,40,28,31,56
"ENSMUSG00000004099",2758,2320,2322,2529,2700,2948
"ENSMUSG00000004100",312,206,247,227,287,255
"ENSMUSG00000004105",105,99,102,79,137,76
"ENSMUSG00000004110",20615,14047,14360,14937,29438,18309
"ENSMUSG00000004113",4827,5007,4238,4340,5007,4292
"ENSMUSG00000004127",220,190,276,276,188,230
"ENSMUSG00000004151",3734,3627,3712,3839,5826,3649
"ENSMUSG00000004187",15436,17247,15793,18043,17724,16317
"ENSMUSG00000004207",34008,28261,35164,33910,36239,30013
"ENSMUSG00000004221",1460,1625,1577,1478,1616,1286
"ENSMUSG00000004231",15,6,8,23,15,9
"ENSMUSG00000004233",511,551,521,409,538,639
"ENSMUSG00000004263",764,715,658,949,964,806
"ENSMUSG00000004264",1591,1640,1824,1834,1882,1524
"ENSMUSG00000004266",183,128,173,183,161,138
"ENSMUSG00000004267",24607,19757,24142,24234,22396,20465
"ENSMUSG00000004268",371,446,584,604,520,368
"ENSMUSG00000004270",492,378,439,487,475,429
"ENSMUSG00000004285",1559,1806,1945,1886,2226,1530
"ENSMUSG00000004296",2,11,0,3,5,0
"ENSMUSG00000004317",473,365,417,453,413,468
"ENSMUSG00000004319",8317,8327,8615,9420,8305,9095
"ENSMUSG00000004328",108,625,68,96,118,176
"ENSMUSG00000004341",0,0,1,0,0,0
"ENSMUSG00000004344",0,0,0,0,0,0
"ENSMUSG00000004347",366,249,335,325,655,452
"ENSMUSG00000004356",1049,841,1064,1058,1209,1085
"ENSMUSG00000004359",0,0,3,0,0,0
"ENSMUSG00000004360",2143,2568,2162,2330,2375,2644
"ENSMUSG00000004364",7706,7660,7861,8129,8175,8521
"ENSMUSG00000004366",4967,2269,3790,3769,5622,4531
"ENSMUSG00000004371",15,10,6,7,2,8
"ENSMUSG00000004383",6036,5588,5925,5830,5543,5541
"ENSMUSG00000004393",810,769,883,820,957,681
"ENSMUSG00000004394",1049,994,1032,1195,1327,1140
"ENSMUSG00000004415",24,28,46,28,56,41
"ENSMUSG00000004446",193,226,194,204,164,135
"ENSMUSG00000004451",563,570,520,574,712,466
"ENSMUSG00000004455",1415,1197,1509,1515,1407,1602
"ENSMUSG00000004460",1431,1507,1734,1774,1718,1852
"ENSMUSG00000004462",500,422,492,638,562,469
"ENSMUSG00000004473",130,154,179,179,182,119
"ENSMUSG00000004500",321,345,316,350,393,292
"ENSMUSG00000004508",1395,1148,1146,1423,1494,1411
"ENSMUSG00000004530",2499,1929,2108,2031,2487,2527
"ENSMUSG00000004535",8240,8672,9573,9781,9244,9750
"ENSMUSG00000004540",0,2,2,0,0,2
"ENSMUSG00000004542",0,0,0,0,0,0
"ENSMUSG00000004552",8,14,1,4,17,10
"ENSMUSG00000004558",25979,29508,30972,33823,36367,29793
"ENSMUSG00000004561",182,211,211,202,234,123
"ENSMUSG00000004562",627,550,590,713,748,670
"ENSMUSG00000004565",1335,1182,1322,1383,1530,1175
"ENSMUSG00000004567",1165,1245,1281,1356,1466,1147
"ENSMUSG00000004568",1628,1641,1552,1629,2312,1630
"ENSMUSG00000004591",1546,1672,1816,1969,2001,2025
"ENSMUSG00000004609",392,346,328,434,319,370
"ENSMUSG00000004610",12,32,22,27,17,25
"ENSMUSG00000004612",2,0,0,0,3,0
"ENSMUSG00000004626",301,217,251,267,434,192
"ENSMUSG00000004630",93,11,30,41,61,18
"ENSMUSG00000004631",868,895,1044,970,902,887
"ENSMUSG00000004633",705,470,569,698,806,594
"ENSMUSG00000004637",671,558,610,699,837,790
"ENSMUSG00000004642",492,570,597,660,722,589
"ENSMUSG00000004651",20,7,12,14,3,0
"ENSMUSG00000004654",0,0,0,0,0,0
"ENSMUSG00000004655",11,7,15,12,6,16
"ENSMUSG00000004661",179,163,200,228,127,214
"ENSMUSG00000004665",255,120,256,221,256,162
"ENSMUSG00000004667",1901,1986,1899,1769,1799,1860
"ENSMUSG00000004668",1,3,13,7,10,1
"ENSMUSG00000004677",888,942,786,847,984,869
"ENSMUSG00000004698",3389,3962,3693,3733,4690,3524
"ENSMUSG00000004707",0,3,6,2,6,0
"ENSMUSG00000004709",6,1,4,0,2,9
"ENSMUSG00000004730",209,175,321,250,228,136
"ENSMUSG00000004748",1936,2032,2445,2238,3307,1923
"ENSMUSG00000004768",982,1049,1025,1097,1344,1002
"ENSMUSG00000004771",2905,3251,3330,3420,3927,3132
"ENSMUSG00000004788",653,650,664,586,667,730
"ENSMUSG00000004789",4211,4203,4616,4852,4503,4728
"ENSMUSG00000004791",79,53,99,49,107,58
"ENSMUSG00000004798",4814,6038,4986,5705,5657,5476
"ENSMUSG00000004814",9,21,7,29,9,5
"ENSMUSG00000004815",657,755,684,616,874,774
"ENSMUSG00000004821",0,0,0,0,0,0
"ENSMUSG00000004837",218,212,248,271,218,170
"ENSMUSG00000004842",0,0,0,1,0,0
"ENSMUSG00000004843",1338,1407,1469,1613,1946,1295
"ENSMUSG00000004846",520,473,597,477,636,457
"ENSMUSG00000004849",3532,3684,4588,4299,3591,3454
"ENSMUSG00000004864",1,12,16,4,44,2
"ENSMUSG00000004865",2046,1963,2140,2277,2250,2142
"ENSMUSG00000004872",1,0,0,3,2,0
"ENSMUSG00000004880",253,339,269,254,310,258
"ENSMUSG00000004885",103,19,92,84,150,93
"ENSMUSG00000004891",804,808,1297,1247,565,1147
"ENSMUSG00000004892",5111,5128,5488,5344,5578,4372
"ENSMUSG00000004894",98,68,82,51,34,72
"ENSMUSG00000004895",1444,1087,1337,1417,1485,1237
"ENSMUSG00000004896",400,416,482,460,470,501
"ENSMUSG00000004897",4416,4084,4335,4845,4319,4474
"ENSMUSG00000004902",2182,2759,2656,2612,2735,2223
"ENSMUSG00000004929",1006,1039,852,796,982,864
"ENSMUSG00000004931",166,135,123,117,161,137
"ENSMUSG00000004933",2659,2830,2441,2496,3007,2330
"ENSMUSG00000004934",345,251,304,329,305,425
"ENSMUSG00000004936",5072,5634,5898,6036,6517,4726
"ENSMUSG00000004937",3602,3150,3023,3167,3443,2942
"ENSMUSG00000004939",2,0,0,0,0,0
"ENSMUSG00000004945",811,1329,1059,1172,1194,896
"ENSMUSG00000004947",216,196,200,161,187,168
"ENSMUSG00000004948",0,0,0,0,0,17
"ENSMUSG00000004951",72,89,89,81,108,125
"ENSMUSG00000004952",89,185,109,107,78,115
"ENSMUSG00000004961",4102,3563,4133,3881,4389,3503
"ENSMUSG00000004980",8259,6996,8501,8796,9489,9364
"ENSMUSG00000004988",0,0,0,0,0,0
"ENSMUSG00000004994",355,356,402,307,403,413
"ENSMUSG00000004996",123,146,141,92,117,99
"ENSMUSG00000005034",18715,20111,22292,22721,24878,20631
"ENSMUSG00000005043",263,215,232,216,327,207
"ENSMUSG00000005045",15935,14154,12375,13905,16452,17740
"ENSMUSG00000005054",254,290,366,424,318,304
"ENSMUSG00000005057",126,147,152,153,206,106
"ENSMUSG00000005069",891,868,935,958,1064,932
"ENSMUSG00000005078",1338,1222,1453,1542,1376,1391
"ENSMUSG00000005087",217,136,169,211,1500,169
"ENSMUSG00000005089",251378,315216,258837,300248,267138,290688
"ENSMUSG00000005102",826,695,707,698,962,842
"ENSMUSG00000005103",6083,5505,6155,6411,7480,5851
"ENSMUSG00000005107",25,13,21,15,10,13
"ENSMUSG00000005124",71,78,160,176,21,90
"ENSMUSG00000005125",2140,1628,1766,1933,1637,1959
"ENSMUSG00000005131",9,24,10,13,42,11
"ENSMUSG00000005142",1253,1391,1241,1265,1634,1181
"ENSMUSG00000005148",551,333,426,483,1769,464
"ENSMUSG00000005150",552,509,559,633,635,539
"ENSMUSG00000005161",8916,9863,10221,10616,11697,9778
"ENSMUSG00000005198",3274,2628,2677,2969,3667,2732
"ENSMUSG00000005202",0,0,0,0,0,0
"ENSMUSG00000005204",1027,1229,1415,1339,1449,1065
"ENSMUSG00000005220",14,15,8,12,34,6
"ENSMUSG00000005225",580,612,580,727,638,725
"ENSMUSG00000005232",0,0,0,0,0,0
"ENSMUSG00000005233",5,18,11,20,9,0
"ENSMUSG00000005237",64,42,40,57,109,81
"ENSMUSG00000005251",7,4,3,12,60,4
"ENSMUSG00000005262",1389,1306,1574,1692,1732,1444
"ENSMUSG00000005267",682,567,581,673,743,779
"ENSMUSG00000005268",40,25,25,13,52,17
"ENSMUSG00000005299",3255,2677,2793,3126,3310,3447
"ENSMUSG00000005312",7099,6629,7596,7716,7152,7097
"ENSMUSG00000005320",1,0,2,0,0,0
"ENSMUSG00000005338",12007,9719,10985,11843,14573,12086
"ENSMUSG00000005339",0,0,0,0,0,0
"ENSMUSG00000005354",2947,3164,3197,3262,3344,3103
"ENSMUSG00000005355",0,0,0,0,0,0
"ENSMUSG00000005357",167,114,163,111,120,145
"ENSMUSG00000005360",38628,36018,41425,42965,41745,38858
"ENSMUSG00000005362",2010,2229,2711,2734,2586,2249
"ENSMUSG00000005364",0,0,1,4,0,0
"ENSMUSG00000005370",1157,993,1199,1211,1283,1377
"ENSMUSG00000005371",10420,9971,9820,10310,11998,12037
"ENSMUSG00000005373",65,43,46,64,54,43
"ENSMUSG00000005374",757,706,730,795,828,804
"ENSMUSG00000005378",590,538,606,622,674,647
"ENSMUSG00000005397",508,345,493,557,540,450
"ENSMUSG00000005410",297,252,268,249,175,222
"ENSMUSG00000005413",128,118,132,149,87,119
"ENSMUSG00000005417",16754,16953,16363,17493,18033,18603
"ENSMUSG00000005442",7723,7582,5774,6428,7197,6602
"ENSMUSG00000005447",145,136,174,193,129,93
"ENSMUSG00000005465",3,9,5,11,15,3
"ENSMUSG00000005469",4952,4420,5011,5299,5752,5436
"ENSMUSG00000005470",18,21,20,40,11,4
"ENSMUSG00000005474",0,0,0,0,0,0
"ENSMUSG00000005481",207,198,240,170,197,152
"ENSMUSG00000005483",1059,1308,1539,1560,1706,1268
"ENSMUSG00000005493",7,9,4,0,13,2
"ENSMUSG00000005501",522,636,531,547,607,717
"ENSMUSG00000005503",0,0,0,0,0,0
"ENSMUSG00000005505",656,559,801,922,972,836
"ENSMUSG00000005506",7453,7384,7308,7878,7814,7078
"ENSMUSG00000005510",1523,1707,1908,1920,1698,1525
"ENSMUSG00000005514",3629,3357,3687,3303,2974,3384
"ENSMUSG00000005533",5105,4771,4361,4901,5557,5216
"ENSMUSG00000005534",2850,2694,2565,2830,3024,2864
"ENSMUSG00000005540",0,0,3,0,1,9
"ENSMUSG00000005547",0,0,15,3,6,0
"ENSMUSG00000005553",24,7,29,13,29,11
"ENSMUSG00000005566",2534,2200,2500,2336,2990,1860
"ENSMUSG00000005575",3571,3518,4051,3935,3215,3245
"ENSMUSG00000005580",3017,2950,2484,2681,2397,3137
"ENSMUSG00000005583",40643,43610,41755,45761,39720,45889
"ENSMUSG00000005609",2573,1860,2297,2397,3060,2695
"ENSMUSG00000005610",21666,23196,23821,26434,24535,22684
"ENSMUSG00000005611",188,183,189,155,165,168
"ENSMUSG00000005615",1207,1175,1333,1404,1281,1216
"ENSMUSG00000005621",1437,1442,1226,1469,1633,1422
"ENSMUSG00000005625",3058,2482,3323,3221,3036,3055
"ENSMUSG00000005628",6,4,9,0,16,14
"ENSMUSG00000005640",0,0,5,14,28,9
"ENSMUSG00000005649",3,0,2,0,1,6
"ENSMUSG00000005656",877,736,1053,1084,963,928
"ENSMUSG00000005667",81,72,95,139,105,78
"ENSMUSG00000005672",1084,981,1070,1135,2265,900
"ENSMUSG00000005674",1345,1506,1697,1744,1701,1176
"ENSMUSG00000005677",3,6,14,3,1,11
"ENSMUSG00000005681",0,0,3,0,2,0
"ENSMUSG00000005682",420,398,439,433,472,436
"ENSMUSG00000005683",8205,8545,9405,9932,9470,7621
"ENSMUSG00000005686",732,785,646,843,899,647
"ENSMUSG00000005687",1502,1431,1590,1473,1854,1859
"ENSMUSG00000005696",0,0,0,0,0,0
"ENSMUSG00000005698",2604,2637,2626,2696,2907,2752
"ENSMUSG00000005699",335,345,414,392,444,318
"ENSMUSG00000005705",3,0,0,2,0,0
"ENSMUSG00000005716",1110,1409,1706,1837,731,1196
"ENSMUSG00000005718",63,51,58,42,82,64
"ENSMUSG00000005732",864,943,886,1035,1312,898
"ENSMUSG00000005763",1,1,0,0,2,0
"ENSMUSG00000005774",603,497,557,711,670,785
"ENSMUSG00000005779",948,1329,1479,1576,1408,903
"ENSMUSG00000005800",0,0,0,0,6,0
"ENSMUSG00000005802",2745,3535,3102,3349,3251,3216
"ENSMUSG00000005803",210,218,299,273,251,232
"ENSMUSG00000005804",1350,1313,1450,1382,1298,1414
"ENSMUSG00000005813",1640,1365,1709,1774,1763,1477
"ENSMUSG00000005823",448,345,557,536,567,419
"ENSMUSG00000005824",2,0,0,0,0,0
"ENSMUSG00000005836",4,0,8,13,10,11
"ENSMUSG00000005846",1577,1418,1890,1855,1852,1867
"ENSMUSG00000005864",0,0,3,13,1,0
"ENSMUSG00000005871",37315,46783,38115,44653,32397,49291
"ENSMUSG00000005873",9193,8704,9533,10113,12110,9801
"ENSMUSG00000005881",2294,1940,2320,2259,2920,1964
"ENSMUSG00000005882",918,1088,1310,1390,1292,1038
"ENSMUSG00000005883",4,2,12,16,13,14
"ENSMUSG00000005886",5273,5484,4952,5689,5449,5460
"ENSMUSG00000005891",0,0,0,0,0,0
"ENSMUSG00000005892",45,7,46,19,12,13
"ENSMUSG00000005893",6804,8335,8423,8415,9026,7307
"ENSMUSG00000005897",384,331,332,405,465,328
"ENSMUSG00000005899",1032,811,911,912,1075,1091
"ENSMUSG00000005907",685,464,630,597,771,583
"ENSMUSG00000005917",165,121,120,180,136,194
"ENSMUSG00000005936",1515,1706,2094,1993,1967,1819
"ENSMUSG00000005947",1,0,8,6,2,5
"ENSMUSG00000005949",291,257,274,297,320,246
"ENSMUSG00000005950",9,6,7,8,35,22
"ENSMUSG00000005951",68,49,73,108,99,72
"ENSMUSG00000005952",2,1,0,5,7,4
"ENSMUSG00000005958",704,702,959,969,578,827
"ENSMUSG00000005968",25,44,27,38,54,26
"ENSMUSG00000005973",801,751,978,989,1661,953
"ENSMUSG00000005980",0,0,6,3,1,0
"ENSMUSG00000005981",1752,1842,2066,1949,2278,1877
"ENSMUSG00000005982",1464,1615,1684,1818,1821,1452
"ENSMUSG00000005983",111,141,114,100,80,130
"ENSMUSG00000005986",994,996,1023,1030,1158,1078
"ENSMUSG00000005994",38,17,16,27,6,3
"ENSMUSG00000006005",8590,7334,7800,8513,9707,10598
"ENSMUSG00000006007",0,0,0,0,0,0
"ENSMUSG00000006010",1951,2140,2241,2255,2134,2165
"ENSMUSG00000006014",121,9,82,76,149,95
"ENSMUSG00000006019",195,235,184,164,236,223
"ENSMUSG00000006021",549,477,524,560,675,382
"ENSMUSG00000006024",5141,5731,6002,5852,4473,5543
"ENSMUSG00000006050",667,756,780,725,859,711
"ENSMUSG00000006056",0,0,0,0,0,0
"ENSMUSG00000006057",2006,2034,2574,2613,2393,1627
"ENSMUSG00000006058",2251,2222,2468,2368,2223,2427
"ENSMUSG00000006095",1557,1531,1659,1491,1551,1320
"ENSMUSG00000006127",920,954,937,1031,1071,901
"ENSMUSG00000006134",1476,1520,1477,1680,1876,1571
"ENSMUSG00000006143",7,22,9,1,4,0
"ENSMUSG00000006154",0,1,7,2,11,4
"ENSMUSG00000006169",2645,2800,2710,2857,2651,2955
"ENSMUSG00000006179",41,19,24,62,39,37
"ENSMUSG00000006191",833,703,855,896,878,963
"ENSMUSG00000006200",0,0,0,0,0,0
"ENSMUSG00000006204",4,0,0,0,0,0
"ENSMUSG00000006205",5161,4841,6185,5664,4353,5930
"ENSMUSG00000006215",822,775,843,690,733,933
"ENSMUSG00000006216",0,0,2,0,0,0
"ENSMUSG00000006218",46,20,25,52,42,45
"ENSMUSG00000006219",18,19,15,14,24,16
"ENSMUSG00000006221",19,20,33,24,6,13
"ENSMUSG00000006235",80,75,59,72,25,63
"ENSMUSG00000006241",119,143,180,134,161,76
"ENSMUSG00000006262",1362,1474,1405,1456,2129,1386
"ENSMUSG00000006269",0,0,0,0,0,0
"ENSMUSG00000006270",2,0,3,0,4,1
"ENSMUSG00000006273",11410,10983,12433,12148,14175,10381
"ENSMUSG00000006276",2192,2289,2119,2376,2049,2530
"ENSMUSG00000006281",272,270,271,332,220,262
"ENSMUSG00000006288",649,627,753,778,808,767
"ENSMUSG00000006289",462,494,424,530,507,527
"ENSMUSG00000006299",4958,3957,4950,4951,5063,5487
"ENSMUSG00000006301",843,776,929,1048,826,804
"ENSMUSG00000006304",5898,5077,6146,6548,4966,6188
"ENSMUSG00000006307",1632,1560,1298,1595,1699,1768
"ENSMUSG00000006310",2,0,0,0,0,0
"ENSMUSG00000006311",0,0,0,0,0,0
"ENSMUSG00000006313",4,20,11,12,2,1
"ENSMUSG00000006315",497,470,489,464,530,435
"ENSMUSG00000006333",4920,6052,6101,5857,6344,4492
"ENSMUSG00000006335",420,483,499,471,508,492
"ENSMUSG00000006342",531,452,508,487,117,628
"ENSMUSG00000006344",47,47,53,41,84,77
"ENSMUSG00000006345",85,83,67,48,45,103
"ENSMUSG00000006356",4140,3455,3531,3503,3150,4201
"ENSMUSG00000006360",55,106,101,94,102,102
"ENSMUSG00000006362",910,937,793,999,1038,1074
"ENSMUSG00000006369",320,121,218,186,275,186
"ENSMUSG00000006373",5848,5573,6326,5881,10979,5217
"ENSMUSG00000006378",36,37,23,13,20,31
"ENSMUSG00000006386",804,724,927,993,935,879
"ENSMUSG00000006389",34,58,22,38,13,12
"ENSMUSG00000006390",171,189,174,213,165,167
"ENSMUSG00000006392",267,259,334,395,286,295
"ENSMUSG00000006395",119,85,79,86,83,105
"ENSMUSG00000006398",19,20,11,9,17,10
"ENSMUSG00000006403",345,184,217,237,183,163
"ENSMUSG00000006411",183,151,137,161,69,212
"ENSMUSG00000006412",2222,2452,2587,2818,2282,2156
"ENSMUSG00000006418",1650,1704,2059,2235,2195,1639
"ENSMUSG00000006423",2078,2074,2107,2119,2650,2181
