"","Mmus_C57-6CR_LVR_FLT_Rep1_F58","Mmus_C57-6CR_LVR_FLT_Rep2_F64","Mmus_C57-6CR_LVR_GC_Rep1_G40","Mmus_C57-6CR_LVR_GC_Rep2_G44","Mmus_C57-6CR_LVR_VIV_Rep1_V14","Mmus_C57-6CR_LVR_VIV_Rep2_V9"
"ENSMUSG00000097249",0,0,0,0,0,0
"ENSMUSG00000097250",0,0,0,0,0,0
"ENSMUSG00000097251",6,14,11,23,8,7
"ENSMUSG00000097252",1,0,0,1,1,3
"ENSMUSG00000097253",0,0,0,0,0,0
"ENSMUSG00000097254",5,1,0,2,5,2
"ENSMUSG00000097255",0,0,0,1,0,0
"ENSMUSG00000097256",0,0,0,0,0,0
"ENSMUSG00000097257",0,0,0,0,0,0
"ENSMUSG00000097258",0,0,0,0,0,0
"ENSMUSG00000097259",6,1,3,2,10,9
"ENSMUSG00000097260",0,0,0,0,0,0
"ENSMUSG00000097261",5,3,1,4,2,2
"ENSMUSG00000097262",0,2,0,0,0,0
"ENSMUSG00000097263",0,0,0,0,0,0
"ENSMUSG00000097264",0,0,0,0,0,0
"ENSMUSG00000097265",0,0,0,0,0,0
"ENSMUSG00000097266",0,0,0,0,0,0
"ENSMUSG00000097267",0,2,1,0,0,0
"ENSMUSG00000097268",0,0,0,0,0,2
"ENSMUSG00000097271",1,4,2,1,1,0
"ENSMUSG00000097272",0,0,0,1,1,0
"ENSMUSG00000097274",4,3,2,1,5,2
"ENSMUSG00000097275",2,5,1,4,3,4
"ENSMUSG00000097276",11,17,11,6,4,7
"ENSMUSG00000097277",58.27,59.34,85.33,64,53,98
"ENSMUSG00000097278",0,0,0,0,0,0
"ENSMUSG00000097279",0,1,0,0,0,1
"ENSMUSG00000097280",0,0,0,0,0,0
"ENSMUSG00000097281",0,0,0,0,0,0
"ENSMUSG00000097282",0,0,0,1,0,0
"ENSMUSG00000097283",1,0,0,1,0,0
"ENSMUSG00000097284",26,33.01,67,28,64,63
"ENSMUSG00000097285",0,0,0,0,0,0
"ENSMUSG00000097286",17,10,24,14,18,22
"ENSMUSG00000097287",6,30,10,17,6,5
"ENSMUSG00000097288",0,0,0,0,0,0
"ENSMUSG00000097289",1,0,0,0,0,0
"ENSMUSG00000097290",216,210,199,157.71,150.36,125
"ENSMUSG00000097291",0,0,0,0,0,0
"ENSMUSG00000097292",1,2,3,5,1,7
"ENSMUSG00000097293",0,0,0,0,0,0
"ENSMUSG00000097294",1,1,2,0,0,1
"ENSMUSG00000097295",1,4,5,5,6.01,2
"ENSMUSG00000097296",7,3,2,3,3,5
"ENSMUSG00000097299",0,0,0,0,0,0
"ENSMUSG00000097300",0,1,0,0,0,0
"ENSMUSG00000097301",0,0,0,0,0,0
"ENSMUSG00000097302",0,0,0,0,0,0
"ENSMUSG00000097303",1,0,0,3,0,0
"ENSMUSG00000097304",0,0,0,1.03,0,0
"ENSMUSG00000097305",1,0,0,0,0,1
"ENSMUSG00000097307",0,0,0,0,0,0
"ENSMUSG00000097308",0,0,0,0,0,0
"ENSMUSG00000097309",9,8,17,15,16,18
"ENSMUSG00000097310",16,39,67,44,37,42
"ENSMUSG00000097311",3,0,5,2,6,7
"ENSMUSG00000097312",0,0,0,0,0,0
"ENSMUSG00000097313",2,2,8,3,2,11
"ENSMUSG00000097315",0,0,0,0,0,0
"ENSMUSG00000097316",44,31,59,38,38,44
"ENSMUSG00000097317",2,2,3,2,2,0
"ENSMUSG00000097318",64,41,97,39,70,97
"ENSMUSG00000097320",35,23.88,40,43,22,33.89
"ENSMUSG00000097321",33,28,51,49,41,31
"ENSMUSG00000097322",1,2,5,4,1,4
"ENSMUSG00000097323",0,3,1,2,0,0
"ENSMUSG00000097324",28,47,22,29,32,37
"ENSMUSG00000097325",2,0,0,4,1,2
"ENSMUSG00000097326",0,0,0,0,0,0
"ENSMUSG00000097327",27,42,78,94,48,65
"ENSMUSG00000097328",55.6,44.47,66.39,58.88,126.27,108.09
"ENSMUSG00000097329",0,0,0,0,0,0
"ENSMUSG00000097330",1,1,3,0,0,1
"ENSMUSG00000097331",0,1,1,1,0,1
"ENSMUSG00000097332",0,0,0,0,0,0
"ENSMUSG00000097333",194.34,216.53,249.65,227.28,195.8,222.41
"ENSMUSG00000097334",6,2,5,8,8,6
"ENSMUSG00000097335",0,0,0,0,0,0
"ENSMUSG00000097336",18,35,22,15,22,21
"ENSMUSG00000097337",4,5,7,9,7,2
"ENSMUSG00000097338",0,0,0,0,0,0
"ENSMUSG00000097339",0,0,0,0,0,0
"ENSMUSG00000097340",1,0,2,4,0,4
"ENSMUSG00000097342",0,0,0,0,0,0
"ENSMUSG00000097343",10,25,11,8,10,14
"ENSMUSG00000097344",0,0,0,0,0,0
"ENSMUSG00000097345",10,13,16,12,16,7
"ENSMUSG00000097346",144.63,72,148.19,64.56,92.42,140.23
"ENSMUSG00000097347",17,10,22,19,10,10
"ENSMUSG00000097349",0,0,0,0,0,0
"ENSMUSG00000097350",17,15,21,20,16,23
"ENSMUSG00000097352",7,4,7,13,14,7
"ENSMUSG00000097353",45,55,123,121,71,104
"ENSMUSG00000097354",254,227,576,277,254,238
"ENSMUSG00000097355",0,0,0,0,0,0
"ENSMUSG00000097356",0,0,0,0,0,1
"ENSMUSG00000097357",5,8,26,11,27,30
"ENSMUSG00000097358",1,0,0,0,0,0
"ENSMUSG00000097360",9,7,20,12,8,12
"ENSMUSG00000097361",0,0,0,0,0,0
"ENSMUSG00000097362",0,0,0,0,0,1
"ENSMUSG00000097363",0,0,0,0,0,0
"ENSMUSG00000097364",2,3,0,2,6,3
"ENSMUSG00000097365",3,2,3,4,0,2
"ENSMUSG00000097366",0,1.05,0,0,2.04,2.12
"ENSMUSG00000097367",5,2,5,8,2,5
"ENSMUSG00000097368",8,6,1,8,13,21
"ENSMUSG00000097369",0,0,0,0,0,1
"ENSMUSG00000097370",0,0,0,0,0,0
"ENSMUSG00000097371",0,0,0,0,0,0
"ENSMUSG00000097372",0,2,1,0,1,1
"ENSMUSG00000097373",0,0,0,0,0,0
"ENSMUSG00000097374",0,0,0,0,0,0
"ENSMUSG00000097375",230,274,262,283,249,367.28
"ENSMUSG00000097377",0,2,0,0,2,1
"ENSMUSG00000097378",13,25,13,11,18,10
"ENSMUSG00000097379",0,2,0,0,0,1
"ENSMUSG00000097380",0,0,0,0,1,0
"ENSMUSG00000097381",2,4,5,3,4,0
"ENSMUSG00000097382",0,0,0,0,0,0
"ENSMUSG00000097383",93,104,113,91,65,83
"ENSMUSG00000097384",0,0,0,0,0,0
"ENSMUSG00000097385",7,4,9,6,2,3
"ENSMUSG00000097386",2,1,4,0,0,0
"ENSMUSG00000097387",1,0,1,1,2,1
"ENSMUSG00000097388",2,4.59,8,5,7.47,5.18
"ENSMUSG00000097390",0,0,0,0,1,0
"ENSMUSG00000097391",1,0,6,8,6,0
"ENSMUSG00000097392",181,223,232,195,159,232
"ENSMUSG00000097393",0,0,0,0,0,0
"ENSMUSG00000097396",0,0,1,0,0,0
"ENSMUSG00000097397",6,4,5,2,8,4
"ENSMUSG00000097398",0,0,0,0,0,0
"ENSMUSG00000097399",1,0,0,1,0,0
"ENSMUSG00000097401",0,1,0,1,1,1
"ENSMUSG00000097402",1,3,9,6,4,7
"ENSMUSG00000097403",6,11,6,5,7,13
"ENSMUSG00000097404",0,1,1,2,5,1
"ENSMUSG00000097405",0,0,0,0,0,0
"ENSMUSG00000097406",0,0,0,0,0,0
"ENSMUSG00000097407",0,0,0,1,2,1
"ENSMUSG00000097408",0,0,0,0,0,0
"ENSMUSG00000097409",0,0,0,0,0,0
"ENSMUSG00000097410",0,0,0,0,0,0
"ENSMUSG00000097411",1,4,6,3,4,7
"ENSMUSG00000097412",101,86,102,50,65,58
"ENSMUSG00000097413",21,12,33,12,20,21
"ENSMUSG00000097414",3,0,1,1,0,0
"ENSMUSG00000097415",125,91,142,146,152,111
"ENSMUSG00000097416",4,3,10,2,2,6
"ENSMUSG00000097417",3,8,7,15,9,4
"ENSMUSG00000097418",0,0,1,0,0,0
"ENSMUSG00000097419",0,0,0,0,0,0
"ENSMUSG00000097420",0,0,0,0,0,0
"ENSMUSG00000097421",0,0,0,0,0,0
"ENSMUSG00000097422",0,0,0,1,0,0
"ENSMUSG00000097423",0,0,0,0,0,0
"ENSMUSG00000097424",0,0,0,0,0,0
"ENSMUSG00000097425",0,0,0,0,0,0
"ENSMUSG00000097426",32,94,72,102,124,113
"ENSMUSG00000097427",0,0,0,0,0,0
"ENSMUSG00000097428",0,0,1,0,0,0
"ENSMUSG00000097429",0,0,0,3,4,2
"ENSMUSG00000097430",0,0,0,0,0,0
"ENSMUSG00000097431",49,37,81,51,56,74
"ENSMUSG00000097433",0,0,0,0,0,0
"ENSMUSG00000097434",0,0,0,0,0,0
"ENSMUSG00000097435",0,0,0,0,0,0
"ENSMUSG00000097438",0,0,0,0,0,0
"ENSMUSG00000097439",0,2,3,6,2,4
"ENSMUSG00000097440",32,33,59,60,74,71
"ENSMUSG00000097441",0,0,0,0,0,0
"ENSMUSG00000097442",0,0,0,0,0,0
"ENSMUSG00000097443",0,0,0,0,0,1
"ENSMUSG00000097444",0,0,0,0,1,0
"ENSMUSG00000097445",2,3,4,2,2,3
"ENSMUSG00000097446",0,0,0,0,0,0
"ENSMUSG00000097447",0,0,0,0,0,0
"ENSMUSG00000097448",0,1,3,0,1,0
"ENSMUSG00000097450",0,0,0,0,0,0
"ENSMUSG00000097451",37,31,110,51,68,46
"ENSMUSG00000097452",0,0,0,0,0,0
"ENSMUSG00000097453",1,0,0,1,1,1
"ENSMUSG00000097454",0,4,0,1,4,1
"ENSMUSG00000097455",0,0,0,0,0,0
"ENSMUSG00000097456",0,0,0,0,0,0
"ENSMUSG00000097457",2,1,2,3,1,1
"ENSMUSG00000097458",44,77,34,53,78,70
"ENSMUSG00000097459",0,0,0,0,0,0
"ENSMUSG00000097460",1,1,0,2,1,2
"ENSMUSG00000097461",0,0,0,1,0,0
"ENSMUSG00000097462",37,38,26,23,23,36
"ENSMUSG00000097463",5,1,1,4,2,1
"ENSMUSG00000097464",2,2,1,0,0,1
"ENSMUSG00000097466",0,0,0,0,0,0
"ENSMUSG00000097467",4,4,3,4,10,4
"ENSMUSG00000097468",7,5,0,0,2,1
"ENSMUSG00000097469",0,0,0,0,0,0
"ENSMUSG00000097470",0,0,0,0,0,0
"ENSMUSG00000097471",2,10,7,10,7,6
"ENSMUSG00000097472",1,1,0,1,1,0
"ENSMUSG00000097473",0,0,0,0,0,0
"ENSMUSG00000097474",9,4,1,4,3,5
"ENSMUSG00000097476",1,2,0,0,0,0
"ENSMUSG00000097479",5,9,11,9,5,8
"ENSMUSG00000097480",0,0,0,0,0,0
"ENSMUSG00000097481",0,0,0,0,0,0
"ENSMUSG00000097482",54,20,44,29,24,52
"ENSMUSG00000097483",0,0,0,0,0,0
"ENSMUSG00000097484",0,0,0,0,0,0
"ENSMUSG00000097486",0,0,0,0,0,0
"ENSMUSG00000097487",5.73,7.73,19.78,20.46,10.38,19.99
"ENSMUSG00000097488",0,1,2,0,0,1
"ENSMUSG00000097489",5,3,7,1,1,3
"ENSMUSG00000097491",0,0,1,1,0,0
"ENSMUSG00000097493",27,21,22,33,22,23
"ENSMUSG00000097494",0,2,4,2,2,3
"ENSMUSG00000097495",0,0,0,0,0,0
"ENSMUSG00000097496",0,0,0,0,0,0
"ENSMUSG00000097497",0,0,3,4,2,3
"ENSMUSG00000097500",0,0,0,0,0,0
"ENSMUSG00000097501",10,9,16,19,7,12
"ENSMUSG00000097502",0,1,0,0,2,0
"ENSMUSG00000097503",15,24,44,28,33,32
"ENSMUSG00000097504",0,0,0,0,0,0
"ENSMUSG00000097505",1,1,2,1,2,2
"ENSMUSG00000097507",0,0,0,0,0,0
"ENSMUSG00000097509",29,23,27,21,16,18
"ENSMUSG00000097511",0,0,0,0,0,0
"ENSMUSG00000097513",0,0,0,1,0,0
"ENSMUSG00000097514",0,0,3,2,2,7
"ENSMUSG00000097515",0,1,0,1,1,2
"ENSMUSG00000097516",0,0,0,0,0,0
"ENSMUSG00000097517",1,1,5,3,5,5
"ENSMUSG00000097518",0,0,1,4,1,0
"ENSMUSG00000097519",1,1,1,2,2,6
"ENSMUSG00000097520",0,0,0,0,0,0
"ENSMUSG00000097522",0,0,0,0,0,0
"ENSMUSG00000097523",16,15,17,10,11,12
"ENSMUSG00000097524",0,0,0,0,0,0
"ENSMUSG00000097525",0,0,0,0,0,0
"ENSMUSG00000097526",0,1,0,2,0,0
"ENSMUSG00000097527",3,7,2,1,2,0
"ENSMUSG00000097529",0,0,0,0,0,0
"ENSMUSG00000097530",16.69,14.09,8.33,7.65,21.84,4.52
"ENSMUSG00000097532",0,3.04,0,1.03,3.28,0
"ENSMUSG00000097533",7,6,3,5,0,5
"ENSMUSG00000097534",18,16,25,32,22,32
"ENSMUSG00000097535",0,0,0,0,0,0
"ENSMUSG00000097536",36,86,42,57,55,65
"ENSMUSG00000097537",4,3,5,3,0,2
"ENSMUSG00000097538",0,0,0,0,0,0
"ENSMUSG00000097539",0,0,0,0,0,0
"ENSMUSG00000097540",0,0,0,0,0,0
"ENSMUSG00000097541",0,0,0,0,0,0
"ENSMUSG00000097542",0,0,0,1,0,2
"ENSMUSG00000097543",0,0,0,0,0,0
"ENSMUSG00000097544",1,0,0,0,0,0
"ENSMUSG00000097545",0,0,0,0,0,0
"ENSMUSG00000097546",0,0,0,0,0,0
"ENSMUSG00000097547",0,2,0,0,0,0
"ENSMUSG00000097548",0,0,0,0,0,0
"ENSMUSG00000097550",0,0,0,0,0,0
"ENSMUSG00000097551",0,0,0,0,0,0
"ENSMUSG00000097552",0,0,0,0,0,0
"ENSMUSG00000097553",0,0,0,0,0,0
"ENSMUSG00000097554",221,155,330,306,373,401
"ENSMUSG00000097557",0,0,0,0,1,0
"ENSMUSG00000097558",1,0,0,0,0,1
"ENSMUSG00000097559",0,6,4,4,4,9
"ENSMUSG00000097560",0,0,0,1,0,0
"ENSMUSG00000097561",5,1,4,5,2,3
"ENSMUSG00000097562",0,0,0,0,0,0
"ENSMUSG00000097563",0,0,0,0,0,0
"ENSMUSG00000097564",39,32,34,26,30,42
"ENSMUSG00000097565",0,0,0,0,0,0
"ENSMUSG00000097566",1,2,0,0,1,4
"ENSMUSG00000097567",4,5,5,2,3,7
"ENSMUSG00000097569",0,0,0,0,0,1
"ENSMUSG00000097571",90.27,95,87,94,104.73,92
"ENSMUSG00000097572",1,1,1,1,4,3
"ENSMUSG00000097573",2,2,4,0,2,0
"ENSMUSG00000097574",31,32,20,24,22,22
"ENSMUSG00000097575",1,0,0,0,0,0
"ENSMUSG00000097576",1,0,1,1,1,0
"ENSMUSG00000097577",25,16,14,14,3,12
"ENSMUSG00000097578",1,0,0,0,0,3
"ENSMUSG00000097579",0,1,0,3,2,1
"ENSMUSG00000097580",0,0,0,0,0,0
"ENSMUSG00000097582",0,0,0,1,0,0
"ENSMUSG00000097583",23,28.18,29.13,18,17,23.11
"ENSMUSG00000097584",0,0,0,0,0,0
"ENSMUSG00000097585",25,25,41,51,30,34
"ENSMUSG00000097586",0,0,0,0,0,0
"ENSMUSG00000097587",1,0,2,4,0,0
"ENSMUSG00000097589",374,397,568,592,361,423
"ENSMUSG00000097590",2,3,4,2,5,1
"ENSMUSG00000097591",0,0,1,1,0,0
"ENSMUSG00000097592",0,0,0,0,0,0
"ENSMUSG00000097593",0,0,0,0,0,0
"ENSMUSG00000097594",0,0,0,0,0,0
"ENSMUSG00000097595",3,6,0,0,2,1
"ENSMUSG00000097596",0,0,0,0,0,0
"ENSMUSG00000097597",6,1,2,5,4,3
"ENSMUSG00000097598",1,1,0,0,0,0
"ENSMUSG00000097599",0,0,0,0,0,0
"ENSMUSG00000097601",9,10,11,12,12,7
"ENSMUSG00000097602",0,0,1,0,1,0
"ENSMUSG00000097603",3,2,0,0,0,0
"ENSMUSG00000097604",0,0,0,0,0,0
"ENSMUSG00000097605",3,3,1,0,0,0
"ENSMUSG00000097608",0,0,0,0,0,0
"ENSMUSG00000097609",0,0,0,0,0,0
"ENSMUSG00000097610",0,0,0,1,0,0
"ENSMUSG00000097612",0,0,0,1,0,0
"ENSMUSG00000097613",0,0,1,4,1,0
"ENSMUSG00000097614",2,0,0,3,1,0
"ENSMUSG00000097615",24,41,59,48,14,14
"ENSMUSG00000097616",42,50,114,77,66,84
"ENSMUSG00000097617",14,18,21,15,17,20
"ENSMUSG00000097618",0,0,0,0,0,0
"ENSMUSG00000097619",1,0,0,1,0,0
"ENSMUSG00000097620",2,3,5,6,2,0
"ENSMUSG00000097621",0,0,0,0,0,0
"ENSMUSG00000097622",0,0,0,0,0,0
"ENSMUSG00000097623",0,0,0,0,0,0
"ENSMUSG00000097624",0,0,0,0,0,0
"ENSMUSG00000097625",1,0,0,0,0,0
"ENSMUSG00000097626",0,5,0,1,1,1
"ENSMUSG00000097627",0,0,0,0,0,0
"ENSMUSG00000097628",0,1,0,0,0,0
"ENSMUSG00000097630",0,0,0,0,0,0
"ENSMUSG00000097632",0,0,0,2,2,0
"ENSMUSG00000097633",0,0,0,0,0,0
"ENSMUSG00000097634",0,0,0,0,0,0
"ENSMUSG00000097635",0,0,1,2,0,0
"ENSMUSG00000097636",4,2,7,9,9,6
"ENSMUSG00000097637",1,3,0,1.47,4,2
"ENSMUSG00000097638",0,0,0,0,0,0
"ENSMUSG00000097639",3,5,23,18,14,11
"ENSMUSG00000097640",4,12,10,11,17,17
"ENSMUSG00000097641",1,0,0,0,0,1
"ENSMUSG00000097642",0,0,0,0,0,0
"ENSMUSG00000097643",1,1,8,5,0,3
"ENSMUSG00000097644",0,0,0,0,0,0
"ENSMUSG00000097645",0,0,1,0,0,0
"ENSMUSG00000097646",0,0,0,0,0,0
"ENSMUSG00000097648",0,0,0,0,0,0
"ENSMUSG00000097649",0,2,1,1,3,2
"ENSMUSG00000097650",0,0,0,0,0,0
"ENSMUSG00000097651",0,0,0,0,0,0
"ENSMUSG00000097652",0,0,0,0,0,0
"ENSMUSG00000097653",0,0,0,0,0,0
"ENSMUSG00000097654",23,17,27,40,37,56
"ENSMUSG00000097655",0,0,0,0,0,0
"ENSMUSG00000097656",33.04,39.39,55.95,29.64,33.35,49.72
"ENSMUSG00000097657",2.05,2.06,3.08,3.13,2.07,4.14
"ENSMUSG00000097658",2,16,3,2,2,1
"ENSMUSG00000097659",0,0,0,0,0,0
"ENSMUSG00000097660",2,2,3,2,0,5
"ENSMUSG00000097661",0,0,0,0,0,0
"ENSMUSG00000097662",0,3,0,2,0,0
"ENSMUSG00000097664",0,0,0,3,2,1
"ENSMUSG00000097665",0,0,1,0,0,0
"ENSMUSG00000097666",0,0,0,0,0,1
"ENSMUSG00000097667",0,0,0,0,0,1
"ENSMUSG00000097668",0,0,0,0,0,0
"ENSMUSG00000097669",0,0,0,0,0,0
"ENSMUSG00000097670",0,0,0,0,0,0
"ENSMUSG00000097671",0,1,0,0,0,0
"ENSMUSG00000097672",0,0,0,0,0,0
"ENSMUSG00000097673",13,42,21,17,25,34
"ENSMUSG00000097674",11,3,5,4,5,1
"ENSMUSG00000097675",8,14,22,16,10,15
"ENSMUSG00000097676",0,0,0,0,0,0
"ENSMUSG00000097677",0,0,0,0,0,0
"ENSMUSG00000097679",0,0,0,0,0,0
"ENSMUSG00000097680",0,1,1,1,1,0
"ENSMUSG00000097681",0,0,1,0,2,0
"ENSMUSG00000097682",0,0,0,0,0,0
"ENSMUSG00000097683",0,0,0,0,0,0
"ENSMUSG00000097684",0,1,1,2,1,0
"ENSMUSG00000097685",0,0,0,0,0,0
"ENSMUSG00000097686",0,0,0,0,0,0
"ENSMUSG00000097689",0,0,0,0,0,0
"ENSMUSG00000097690",0,0,0,1,0,0
"ENSMUSG00000097691",88,103,497,424,226,298
"ENSMUSG00000097692",2,1,0,2,4,3
"ENSMUSG00000097693",0,1,1,1,0,2
"ENSMUSG00000097694",4,0,3,4,3,5
"ENSMUSG00000097695",0,0,1,0,0,0
"ENSMUSG00000097697",0,0,0,0,0,0
"ENSMUSG00000097698",0,0,0,0,0,0
"ENSMUSG00000097699",1,1,4,2,2,4
"ENSMUSG00000097700",0,0,0,0,0,0
"ENSMUSG00000097701",0,0,0,0,0,0
"ENSMUSG00000097702",0,0,0,0,0,0
"ENSMUSG00000097703",0,1,0,0,1,0
"ENSMUSG00000097704",0,0,0,0,0,0
"ENSMUSG00000097705",9,2,11,10,9,4
"ENSMUSG00000097706",18,31,17,56,41,25
"ENSMUSG00000097707",1,0,1,0,0,1
"ENSMUSG00000097709",0,0,2,1,0,0
"ENSMUSG00000097710",0,0,0,0,0,0
"ENSMUSG00000097711",0,0,1,0,1,0
"ENSMUSG00000097712",7,8,4,3,3,2
"ENSMUSG00000097713",1,0,1.34,0,0,1
"ENSMUSG00000097714",0,0,1,1,1,3
"ENSMUSG00000097715",28.91,41.87,31.84,49.14,48.66,34.59
"ENSMUSG00000097716",0,0,0,0,0,0
"ENSMUSG00000097717",0,0,0,0,0,0
"ENSMUSG00000097718",0,0,1,0,0,0
"ENSMUSG00000097719",0,1,0,0,0,0
"ENSMUSG00000097720",0,0,0,0,0,0
"ENSMUSG00000097722",0,0,0,0,1,1
"ENSMUSG00000097723",0,0,0,0,0,0
"ENSMUSG00000097724",20,12,13,27,37,50
"ENSMUSG00000097725",0,0,0,0,0,0
"ENSMUSG00000097726",0,0,0,0,0,0
"ENSMUSG00000097727",1,2,0,0,2,2
"ENSMUSG00000097728",1,2,2,1,5,4
"ENSMUSG00000097729",31,30,61,71,22,21
"ENSMUSG00000097730",226,273,267,192,160,108
"ENSMUSG00000097731",9,4,4,5,8,9
"ENSMUSG00000097734",0,0,0,0,0,0
"ENSMUSG00000097735",0,0,0,0,0,0
"ENSMUSG00000097736",0,0,0,0,1,0
"ENSMUSG00000097737",2,1,0,0,0,0
"ENSMUSG00000097738",0,0,0,1,0,0
"ENSMUSG00000097739",0,0,0,0,0,0
"ENSMUSG00000097740",2,0,0,0,0,0
"ENSMUSG00000097742",0,0,0,0,0,0
"ENSMUSG00000097743",59,49,49,56,40,47
"ENSMUSG00000097744",0,5,1,2,2,0
"ENSMUSG00000097745",0,0,0,0,0,0
"ENSMUSG00000097746",21,38,16,35,34,28
"ENSMUSG00000097747",2,6,1,3,1,3
"ENSMUSG00000097748",2,5,0,2,1,2
"ENSMUSG00000097749",0,1,2,0,0,0
"ENSMUSG00000097750",169,310,90,185,99,82
"ENSMUSG00000097751",0,0,2,0,0,0
"ENSMUSG00000097752",0,0,0,0,0,0
"ENSMUSG00000097753",0,0,0,0,0,0
"ENSMUSG00000097754",0,0,0,0,0,0
"ENSMUSG00000097755",0,0,0,0,0,0
"ENSMUSG00000097756",0,0,0,0,0,0
"ENSMUSG00000097757",6,7,5,11,9,12
"ENSMUSG00000097759",0,2,0,0,3,0
"ENSMUSG00000097760",5,4,6,6,8,5
"ENSMUSG00000097761",2,1,0,0,1,1
"ENSMUSG00000097762",25,35,9,15,8,9
"ENSMUSG00000097763",0,0,0,3,0,1
"ENSMUSG00000097764",1,4,2,2,1,1
"ENSMUSG00000097766",1,9,7,5,3,7
"ENSMUSG00000097767",0,0,1,0,1,0
"ENSMUSG00000097768",1,2,2,3,12,6
"ENSMUSG00000097770",0,0,0,0,2,0
"ENSMUSG00000097772",115,110,82,107,155,206
"ENSMUSG00000097773",1,0,4,5,5,1
"ENSMUSG00000097774",0,0,0,0,0,0
"ENSMUSG00000097775",0,0,0,0,1,0
"ENSMUSG00000097776",0,0,0,0,0,0
"ENSMUSG00000097777",14,6,5,5,2,5
"ENSMUSG00000097779",0,2,2,0,2,0
"ENSMUSG00000097780",0,0,0,0,0,0
"ENSMUSG00000097781",1,4,3,5,3,2
"ENSMUSG00000097783",3,1,0,0,0,5
"ENSMUSG00000097784",4,3,4,4,4,0
"ENSMUSG00000097785",8,6,15,12,11,13
"ENSMUSG00000097786",5,8,2,0,3,6
"ENSMUSG00000097787",23,10,14,11,20,34
"ENSMUSG00000097788",0,0,0,0,0,0
"ENSMUSG00000097789",1,1,1,2,0,0
"ENSMUSG00000097790",0,0,0,0,0,0
"ENSMUSG00000097791",1,1,1,0,0,1
"ENSMUSG00000097792",1,0,1,1,0,0
"ENSMUSG00000097793",13,11,19,11,14,23
"ENSMUSG00000097794",0,0,0,0,0,0
"ENSMUSG00000097795",0,0,0,0,0,0
"ENSMUSG00000097796",0,0,0,1,0,1
"ENSMUSG00000097797",0,3,5,2,0,0
"ENSMUSG00000097798",0,0,0,0,0,0
"ENSMUSG00000097799",5,10,11,6,4,10
"ENSMUSG00000097800",0,0,0,0,0,0
"ENSMUSG00000097801",0,0,0,0,0,0
"ENSMUSG00000097803",2.08,1.04,2.1,0,0,0
"ENSMUSG00000097804",0,0,0,0,0,0
"ENSMUSG00000097805",1,3,3,2,0,2
"ENSMUSG00000097806",0,0,0,0,1,1
"ENSMUSG00000097807",0,0,0,0,0,0
"ENSMUSG00000097809",0,0,0,0,0,0
"ENSMUSG00000097811",5,8,7,5,12,8
"ENSMUSG00000097812",0,0,0,0,0,0
"ENSMUSG00000097814",0,1,0,1,4,1
"ENSMUSG00000097815",19,7,11,18,17,13
"ENSMUSG00000097816",0,1,1,0,0,1
"ENSMUSG00000097817",0,0,0,0,0,0
"ENSMUSG00000097818",0,0,0,0,0,0
"ENSMUSG00000097819",0,0,0,1,0,0
"ENSMUSG00000097820",1,9,1,6,8,7
"ENSMUSG00000097821",0,0,0,0,0,0
"ENSMUSG00000097822",0,0,0,0,0,0
"ENSMUSG00000097823",0,5,1,0,3,1
"ENSMUSG00000097824",0,0,0,0,0,0
"ENSMUSG00000097825",0,0,0,0,0,0
"ENSMUSG00000097827",2,0,1,1,2,5
"ENSMUSG00000097828",3,3,7,3,5,6
"ENSMUSG00000097831",1,0,1,0,2,1
"ENSMUSG00000097832",0,2,0,0,0,5
"ENSMUSG00000097833",0,0,0,0,0,0
"ENSMUSG00000097834",0,0,0,0,0,0
"ENSMUSG00000097835",9,8,10,10,7,15
"ENSMUSG00000097836",2,1,0,1,0,3
"ENSMUSG00000097837",0,0,0,0,0,0
"ENSMUSG00000097838",0,1,2,0,0,1
"ENSMUSG00000097839",1,0,1,1,0,5
"ENSMUSG00000097840",1,0,0,0,0,0
"ENSMUSG00000097841",0,0,0,0,0,0
"ENSMUSG00000097842",4,0,4,6,2,2
"ENSMUSG00000097843",0,0,0,0,0,0
"ENSMUSG00000097845",0,0,0,2,0,1
"ENSMUSG00000097847",0,0,0,0,0,0
"ENSMUSG00000097848",0,0,0,0,0,0
"ENSMUSG00000097850",0,0,0,0,0,1
"ENSMUSG00000097851",0,0,0,0,0,0
"ENSMUSG00000097852",1,0,1,1,0,0
"ENSMUSG00000097853",0,0,0,0,0,0
"ENSMUSG00000097854",0,0,0,0,0,2
"ENSMUSG00000097855",4,2,1,4,0,3
"ENSMUSG00000097857",0,0,0,0,0,0
"ENSMUSG00000097858",0,3,1,3,0,2
"ENSMUSG00000097859",15,28,27,26,9,16
"ENSMUSG00000097860",0,2,5,4,1,3
"ENSMUSG00000097861",0,5,0,0,0,0
"ENSMUSG00000097862",0,0,0,0,0,0
"ENSMUSG00000097863",0,0,0,0,0,0
"ENSMUSG00000097864",0,0,0,0,0,1
"ENSMUSG00000097867",51,76,109,63,63,89
"ENSMUSG00000097868",13,6,37,24,15,15
"ENSMUSG00000097869",0,0,0,0,0,0
"ENSMUSG00000097870",0,1,0,0,0,2
"ENSMUSG00000097871",0,0,0,0,0,0
"ENSMUSG00000097872",1,1,0,0,0,0
"ENSMUSG00000097873",0,1.5,1.67,0.83,0,0
"ENSMUSG00000097874",0,0,0,0,0,1
